Municipality,August,September,October,November,December,"January, 2019"
Alegria,187.47,171.02,213.44,227.85,205.52,148.84
Aloguinsan,187.65,177.18,200.24,199.05,189.68,117.28
Argao,198.5,153.51,184.11,198.86,172.57,124.69
Asturias,173.41,197.46,219.36,194.01,179.53,151.77
Badian,200.56,165.74,205.01,211.14,184.76,132.38
Balamban,215.08,207.66,215.53,181.71,175.45,128.77
Bantayan,147.59,195.25,266.69,218.7,189.31,165.46
Barili,182.78,160.76,188.33,215.14,194.61,121.66
Bogo City,204.83,217.06,246.83,163.38,112.95,130.12
Boljoon,188.71,153.1,212.57,208.8,178.94,136.54
Borbon,179.78,213.38,231.16,192.78,174.51,169.2
Carcar,190.86,168.84,194.79,195.18,174.98,115.53
Carmen,195.12,205.44,224.78,194.9,203.76,171.01
Catmon,185.79,202.59,228.1,197.55,205.85,177.43
Cebu City,229.55,195,198.77,149.56,150.42,113.74
Compostela,202.7,201.5,212.45,166.87,171.81,147.38
Consolacion,188.74,181.86,189.72,153.1,150.46,126.71
Cordoba,170.11,183.06,186.88,143.51,161.59,178.74
Daanbantayan,173.58,225.16,269.19,246.24,258.91,218.16
Dalaguete,204.56,157.1,193.06,201.56,182.57,132.65
Danao City,196.02,204.5,220.22,185.07,192.36,161.49
Danao Lake,165.72,242.59,249.14,241.94,273.87,256.86
Dumanjug,165.21,149.34,164.37,223.67,193.8,123.28
Ginatilan,200.07,159.63,226.47,207.47,171.48,131.28
Lapu-Lapu City,172.25,169.28,174.25,159.08,152.52,122.85
Liloan,194.6,192.26,200.65,161.76,165.26,138.99
Madridejos,144.09,196.25,277.37,233.49,197.49,183.45
Malabuyoc,191.24,169.57,230.21,227.78,196.86,147.1
Mandaue City,181.92,172.09,178.1,135.71,127.12,114.25
Medellin,180.22,214.5,261.23,201.92,172.76,164.29
Minglanilla,253.75,206.61,208.78,177.7,179.13,97.43
Moalboal,187.06,160.21,188.83,191.69,168.34,125.18
Naga City,236.55,199.13,210.39,181.33,178.07,101.58
Oslob,181.17,146.61,208.56,189.94,155.95,123.45
Pilar,211.76,253.68,278.61,271.39,316.63,319.62
Pinamungahan,205.66,187.92,201.58,189.83,179.3,111.06
Poro,193.74,243.97,266.97,249.91,285.92,272.92
Ronda,171.94,153.9,168.81,216.38,183.73,122.41
Samboan,191.49,150.73,220.4,191.07,151.79,118.13
San Fernando,206.78,183.71,203.97,188.11,177.54,109.13
San Francisco,171.82,237.24,245.88,233.95,265.52,253.14
San Remigio,190.32,208.06,244.88,167.94,124.16,135.61
Santa Fe,155.87,205.03,265.81,238.02,215.5,191.36
Santander,168.58,134.88,206.09,180.55,139.71,110.62
Sibonga,185.71,156.37,180.63,206.16,176.96,120.61
Sogod,171.37,204.08,225.33,198.15,194.65,181.6
Tabogon,197.16,213.42,236.82,176.04,146.05,147.66
Tabuelan,167.5,203.01,233.17,196.84,169.6,162.41
Talisay City,223.86,189.35,191.59,165.63,163.98,98.69
Toledo City,218.05,196.73,205.95,183.58,171.6,112.99
Tuburan,137.03,179.96,214.97,199.71,172.94,165.93
Tudela,207.21,248.72,275.01,256.18,293.86,285.16
Compostela Valley,213.82,226.11,260.17,236.02,327.68,378.06
Compostela,197.43,198.59,250.75,246.86,376.18,453.23
Laak,265.06,324.11,306.37,225.28,344.29,385.72
Mabini,205.2,204.24,237.23,232.76,257.44,288.02
Maco,197.53,205.7,239.68,215.74,253.45,312.22
Maragusan,215.74,206.2,258.93,257.16,312.91,333.47
Mawab,162.08,187.82,231.02,181.03,281.25,383.4
Monkayo,228.55,245.25,279.09,268.67,420.47,482.47
Montevista,195.96,230.2,249.45,210.5,341.68,428.17
Nabunturan,168.7,191.6,234.59,196.51,314.14,404.34
New Bataan,215.4,199.62,263.26,258.61,371.03,411.75
Pantukan,209.46,206.97,244.05,227.81,241.69,259.2
Davao del Norte,261.01,297.62,273,205.09,225.1,263.51
Asuncion,231.63,276.33,262.94,193.34,261.91,339.81
Braulio E. Dujali,215,259.94,236.82,187.29,155.21,231.32
Carmen,209.41,241.1,224.98,192.72,143.75,223.34
Kapalong,322.06,366.87,322.85,229.02,280.6,294.09
New Corella,203.32,245.36,247.05,185.45,265.09,350.75
Panabo City,208.36,248.4,232.15,189.91,159.41,197.78
Samal City,183.99,204.18,192.91,167.2,161.34,157.29
San Isidro,303.16,354.92,316.01,213.99,278.13,307.34
Santo Tomas,262.3,286.71,272.81,199.17,184.37,246.41
Tagum City,194.57,218.09,221.43,194.33,179.78,266.59
Talaingod,344.25,368,323.82,235.01,246.67,233.85
Davao del Sur,190.22,202.09,204.01,170.99,150.85,142.54
Bansalan,214.98,229.86,222.78,177.46,150.78,120.78
Davao City,244.06,263.77,243.76,210.8,179.17,165.19
Digos City,198.06,217.85,198.26,161.31,132.06,112.76
Don Marcelino,170.6,158.89,200.69,183.92,186.18,172.75
Hagonoy,136.03,178.57,148.51,108.97,90.24,109.44
Jose Abad Santos,169.42,148.77,202.4,193.12,171.06,167.06
Kiblawan,158.16,190.22,170.36,85.13,85.81,109.29
Magsaysay,181.86,208.58,189.79,131.42,117.29,118.62
Malalag,150.68,179.39,176.33,132.49,122.77,111.63
Malita,148.06,159.29,177.5,150.36,140.45,136.76
Matanao,163.75,197.7,172.34,100.29,87.41,112.36
Padada,133.29,176.95,146.02,108.92,94.11,107.49
Santa Cruz,238.32,227.71,223.36,184.58,154.33,112.98
Santa Maria,140.91,168.43,180.56,139.2,127.37,122.9
Sarangani,196.78,148.98,183.41,206.67,168.58,171.4
Sulop,143.86,181.76,164.22,108.62,92.6,108.61
Davao Oriental,202.01,189.94,237.07,228.6,291.83,327.39
Baganga,185.76,155.07,238.02,293.48,391.84,419.12
Banaybanay,195.31,205.91,240.12,206.41,227.93,255.21
Boston,205.47,197.08,280.91,334.43,475.78,537.21
Caraga,212.25,185.94,242.61,259.77,330.05,334.76
Cateel,149.47,136.7,233.97,320.13,429.9,481.02
Governor Generoso,231.86,204.36,230.88,137.63,190.25,241.52
Lupon,182.12,203.88,217.87,185.35,212.42,244.96
Manay,209.52,195.63,226.7,228.5,280.52,293.75
Mati City,213.34,202.33,227.41,164.96,195.9,244.7
San Isidro,218.8,226.64,232.02,131.04,175.89,242.51
Tarragona,222.94,208.46,241.64,211.46,248.69,266.37
Dinagat Islands,190.19,204.47,283.63,368.09,523.53,547.61
Basilisa,166.68,191.43,266.63,344.23,487.74,564.12
Cagdianao,192.02,206.25,281.75,362.97,531.58,568.55
Dinagat,164.73,208.02,256.28,376.16,531.78,591.85
Libjo,199.7,205.97,301.94,370.01,544.92,548.66
Loreto,207.05,206,293.64,375.84,514.79,500.59
San Jose,167.07,205.51,267.77,373.58,534.84,580.7
Tubajon,200.69,209.68,288.34,382.41,523.93,524.43
Eastern Samar,210.22,237.21,344.91,483.07,587.15,438.58
Arteche,208.91,279.08,374.28,498.42,563.34,447.84
Balangiga,197.35,213.62,317.01,447.28,582.25,436.54
Balangkayan,220.06,223.17,344.13,498.62,626.34,427.46
Borongan City,249.6,225.94,340.2,534.13,661.5,424.64
Can-Avid,214.16,264.74,380.95,494.05,556.64,436.24
Dolores,205.95,266.72,369.27,484.61,533.8,437.32
General Macarthur,190.92,202.09,332.18,466.68,587.28,434.96
Giporlos,173.47,199.98,291.62,416.58,540.48,460.13
Guiuan,160.52,207.8,290.56,421.03,545.42,467.13
Hernani,191.1,205.84,339.1,475.55,589.42,445.88
Jipapad,230.13,281.87,393.14,491.7,587.59,438.67
Lawaan,203.74,214.29,321.18,444.53,584.57,431.11
Llorente,204.77,215.28,339.49,484.98,605.88,429.46
Maslog,254.33,286.42,397.36,495.43,579.41,421.45
Maydolong,231.56,224.06,346.65,511.7,647.53,428.04
Mercedes,147.97,196.27,317.93,471.46,600.94,474.24
Oras,192.73,263.72,351.34,478.13,519.52,446.32
Quinapondan,181.14,200.12,319.65,456.19,585.77,444.06
Salcedo,161.77,201.72,317.25,462.77,589.49,464.8
San Julian,247.72,243.31,342.28,516.32,637.49,424.56
San Policarpo,193.47,263.27,355.86,493.19,538.23,462.51
Sulat,230.49,253.79,340.19,502.98,606.7,432.12
Taft,226.3,259.56,369.57,489.9,578.38,433.48
Guimaras,427.88,291.4,266.05,180.89,145.29,70.71
Buenavista,393.04,273.2,273.04,204.68,154.21,70.94
Jordan,457.12,285.2,254.3,165.58,129.66,57.94
Nueva Valencia,407.35,311.12,254.92,163.34,140.06,70.77
San Lorenzo,444.68,275.17,273.78,191.53,152.34,74.83
Sibunag,441.78,299.43,273.91,183.96,148.77,75.13
Ifugao,412.93,342.64,279.16,223.49,128.27,39.77
Aguinaldo,360.8,336.12,273.24,250.88,152.1,47.74
Alfonso Lista,332.72,304.77,264.55,237.27,146.58,52.72
Asipulo,438.62,359.83,292.89,205.03,123.12,35.19
Banaue,467.51,348.29,275.11,248.88,124.58,32.14
Hingyon,479.09,360.25,283.34,229.45,115.65,36.36
Hungduan,497.46,355.97,280.82,215.75,102.83,28.37
Kiangan,437.7,360.11,292.12,212.49,116.03,37.07
Lagawe,383.63,347.58,281.46,209.02,126.91,42.05
Lamut,342.18,346.72,275.74,189.91,140.97,38.83
Mayoyao,398.46,342.17,279.56,238.23,137.21,42.66
Tinoc,523.08,353.76,292.4,192.45,92.91,27.72
Ilocos Norte,452.68,407.32,215.79,138.27,39.74,15.78
Adams,334.17,337.02,363.86,262.61,86.37,27.5
Bacarra,491.44,457.82,169.19,66.09,15.31,9.77
Badoc,561.7,390.08,139.68,57.16,15.82,6.94
Bangui,379.98,335.62,246.23,160.69,45.72,17.19
Banna,539.71,457.37,150.05,93.07,22.29,11.63
Batac City,540.28,461.34,156.11,61.78,18.27,7.99
Burgos,393.23,324.56,198.35,121.66,40.92,13.65
Carasi,383.34,390.33,284.12,247.23,68.74,25.92
Currimao,544.41,445.89,136.83,39.43,11.5,5.4
Dingras,497.07,466.24,167.55,102.3,23.11,15.53
Dumalneg,360.75,336.02,294.61,197.96,56.02,20.85
Laoag City,510.82,476.57,167.55,57.81,15.49,8.2
Marcos,526.12,470.44,151.52,94.21,19.74,13.52
Nueva Era,482.57,411.57,215.66,168.24,46.01,16.77
Pagudpud,318.87,319.04,327.63,227.35,75.85,23.88
Paoay,532.75,481.71,151.53,27.84,8.68,5.67
Paoay Lake,532.68,493.87,161.21,30.4,11.69,6.13
Pasuquin,427.29,373.6,182.65,95.13,30.31,11.55
Piddig,463.4,442.32,206.03,125.85,33.42,17.11
Pinili,561,423.54,143.74,68.13,18.55,7.38
San Nicolas,527.18,480.58,169.51,55.43,16.09,8.03
Sarrat,509.6,475.39,154.41,61.2,19.09,10.61
Solsona,436.5,428.08,230.43,184.82,50.78,21.38
Vintar,408.74,391.85,255.56,175.73,49.63,19.92
Ilocos Sur,601.13,386.28,188.69,73.11,24.01,6.12
Alilem,642.35,387.76,244.02,105.79,35.43,7.71
Banayoyo,618.04,397,184.4,60.64,22.74,5.49
Bantay,596.5,417.57,147.9,53.13,19.1,3.17
Burgos,567.45,389.86,188.4,75.79,25.75,5.34
Cabugao,587.47,327.31,124.25,55.55,17.9,5.9
Candon City,663.94,400.07,184.67,45.07,16.13,5.3
Caoayan,605.27,405.84,134.98,30.36,13.72,4.34
Cervantes,558.55,357.43,233.64,92.65,25.76,10.2
Galimuyod,651.85,396.63,193.33,66,19.54,6.37
Gregorio Del Pilar,559.96,368.51,216.72,100.65,29.83,8.31
Lidlidda,583.39,388.37,191.13,81.67,27.07,6.29
Magsingal,581.15,389.91,142.56,61.44,20.25,4.19
Nagbukel,566.65,410.67,192.03,70.35,15.76,5.57
Narvacan,568.07,403.53,175.21,57.33,17.42,4.17
Quirino,510.16,354.58,214.32,113.4,32.86,10.17
Salcedo,618.11,384.83,207.18,91.13,27.96,7.1
San Emilio,544,384.9,201.11,105.15,29.6,8.4
San Esteban,569.87,391.16,171.46,51.96,16.61,3.19
San Ildefonso,605.44,414.75,131.03,31.41,16.97,2.7
San Juan,583.87,365.54,142.11,64.64,20.5,5.67
San Vicente,632.33,427.55,122.84,11.89,7.8,2.2
Santa,573.32,402.47,153.62,52.8,19.75,4.21
Santa Catalina,625.47,431.66,112.45,11.31,4.96,1.9
Santa Cruz,670.34,395,201.48,66.98,24.35,4.72
Santa Lucia,691.11,401.64,186.22,45.08,13.99,4.55
Santa Maria,550.65,384.8,183.84,67.69,18.55,5.88
Santiago,603.18,390.6,173.17,48.46,19.81,3.78
Santo Domingo,592.29,407.38,139.04,48.99,19.14,3.01
Sigay,596.46,372.66,233.12,102.14,32.01,8.38
Sinait,564.35,335.3,126.72,42.56,14.81,6.42
Sugpon,684.11,401.86,256.02,104.94,39.97,7.55
Suyo,636.86,386.71,231.51,96.78,33.73,6.97
Tagudin,693.76,396.51,207.04,58.33,25.97,3.45
Vigan City,633.83,430.28,119.83,22.07,8.26,2.21
Iloilo,339.44,317.36,292.53,221.19,166,94.94
Ajuy,229.04,250.27,312.7,255.13,208.94,120.98
Alimodian,430.81,363.34,283.62,198.43,121.89,73.4
Anilao,254.3,270.41,259.71,215.55,164.44,80.52
Badiangan,295.39,335.34,282.85,217.56,154.62,88.88
Balasan,313.7,295.98,377.91,311.53,276.67,179.6
Banate,231.19,246.86,245.37,195.43,157.47,79.39
Barotac Nuevo,266.71,287.78,268.84,228.94,170.34,88.4
Barotac Viejo,232.33,249.34,271.14,221.99,176.11,94.81
Batad,294.14,285.68,358.91,294.27,255.19,165.06
Bingawan,316.55,340.85,279.72,258.28,216.46,112.61
Cabatuan,300.27,300.66,266.98,198.59,121.36,84.56
Calinog,364.97,377.82,299.94,249.54,196.46,98.96
Carles,227.01,252.27,317.42,279.36,234.98,159.48
Concepcion,210.77,232.62,317.76,265.46,218.46,137.41
Dingle,279.5,307.32,284.87,222.41,159.51,87.51
Duenas,304.72,342.54,287.91,228.71,167.86,93
Dumangas,291.2,278.35,274.04,219.63,164.33,84.96
Estancia,255.62,271.39,333.96,297.23,255.11,166.3
Guimbal,465.06,350.69,279.47,174.58,124.8,64.77
Igbaras,517.54,394.32,285.94,177.97,126.38,62.2
Iloilo City,405.45,293.78,261.68,163.75,92.67,49.55
Janiuay,379.42,368.77,292.48,222.11,161.4,84.12
Lambunao,484.62,431.18,324.11,245.23,186.63,86.05
Leganes,352.69,295.64,275.65,201.98,131.69,69.33
Lemery,264.02,271.33,317.16,245.26,197.84,126.05
Leon,468.26,374.49,283.34,186.02,119.91,67.64
Maasin,356.04,342.79,273.04,218.77,153.93,83.1
Miagao,516.67,392.3,292.92,167.38,117.73,55.66
Mina,292.38,304.21,285.15,209.65,128.39,86.24
New Lucena,303.65,292.25,281.65,187.74,119.56,82.37
Oton,416.16,302.42,264.08,141.52,84.01,54.65
Passi City,274.25,304.48,279.05,254.22,213.51,112.9
Pavia,385.95,307.72,265.48,158.22,83.81,58.21
Pototan,288.59,308.69,283.88,213.03,139.78,86.41
San Dionisio,272.31,274.85,344.15,281.01,235.89,152.31
San Enrique,270.87,295.7,278.81,230.13,180.97,93.58
San Joaquin,488.13,391.5,277.01,155.78,106.58,47.32
San Miguel,372.54,311.63,264.49,169.08,79.5,67.15
San Rafael,261.46,271.11,292.44,232.71,184.93,105.01
Santa Barbara,346.69,299.04,270.64,171.56,93.71,72.71
Sara,280.7,282.41,339.26,263.22,220.25,145.97
Tigbauan,436.34,332.16,276.49,167.91,115.92,63.92
Tubungan,502.72,389.95,284.47,179.41,124.91,64.73
Zarraga,324.37,286.3,275.88,198.64,138.44,77.93
Isabela,234.45,259.62,354.62,422.08,280.39,86.54
Alicia,255.31,261.77,270.38,261.18,159.58,61.07
Angadanan,236.93,265.09,299.19,289.38,191.9,74.72
Aurora,298,265.8,274.77,250.24,145.18,60.5
Benito Soliven,225.91,272.83,356.43,374.29,251.2,87.23
Burgos,281.25,244.59,296.13,282.78,156.58,55.6
Cabagan,257.02,226.47,337.34,390.67,242.55,67.97
Cabatuan,283.36,263.79,277.21,270.86,150.36,62.32
Cauayan City,251.21,262.07,311.51,300.78,188.63,75.17
Cordon,279.42,306.99,283.68,222.86,152.3,52.6
Delfin Albano,260.35,220.66,303.71,290.4,163.88,57.6
Dinapigue,165.98,269.35,434.15,595.59,450.64,137.37
Divilacan,217.94,233.28,415.35,614.42,398.32,107.24
Echague,218.36,284.21,345.99,391.47,279.23,85.81
Gamu,246.2,218.69,338.18,307.06,177.55,53.87
Ilagan,216.41,237.67,395.66,544.11,353.78,98.5
Jones,236.75,306.9,345.62,364.86,245.64,82.22
Luna,280.25,248.16,291.55,279.4,160.82,60.7
Maconacon,222.73,231.61,419.23,612.58,398.25,102.94
Mallig,297.52,256.66,275.08,252.47,134.29,52.69
Naguilian,228.87,221.31,346.46,324.19,206.48,63.97
Palanan,191.93,238.43,414.07,621.51,433,131.6
Quezon,283.42,247.21,264.52,260.05,129.84,50.16
Quirino,270.89,230.79,306.38,273.38,141.83,53.68
Ramon,286.33,293.78,263.5,236.7,153.17,53.2
Reina Mercedes,248.92,238.29,319.79,294.19,181.17,60.87
Roxas,300.93,262.95,277.88,258.17,140.94,55.37
San Agustin,241.9,327.05,387.83,441.19,310.9,101.31
San Guillermo,210.14,298.46,381.03,463.5,330.86,102.12
San Isidro,234.56,256.21,256.91,241.74,151.14,52.43
San Manuel,308.06,269.23,274.23,251.75,143.94,57.97
San Mariano,196.59,277.03,412.94,553.68,388.98,117.84
San Mateo,288.36,280.18,263.48,251.68,147.98,57.26
San Pablo,241.13,235.04,395.55,521.91,339.44,84.17
Santa Maria,266.79,223.35,302.68,214.34,136.26,49.38
Santiago City,279.04,300.82,272.85,222.62,150.8,51.49
Santo Tomas,267.52,219.34,294.18,258.25,160.67,58
Tumauini,242.47,225.73,356.29,418.17,257.32,69.15
Kalinga,344.27,302.09,244.93,261.25,120.43,31.53
Balbalan,382.29,341.12,253.74,284.23,119.5,28.57
Lubuagan,411.14,332.05,237.03,224.66,106.51,23.97
Pasil,401.47,326.57,245.02,240.32,111.39,25.81
Pinukpuk,295.47,272.81,248.55,304.93,136.16,34.69
Rizal,284.43,240.4,259.71,256.52,100.1,43.97
Tabuk City,294,280.7,235.23,252.34,122.16,34.52
Tanudan,359.73,317.44,241.77,259.18,136.85,29.78
Tinglayan,409.61,326.18,242,217.9,110.58,26.48
La Union,723.25,402.47,218.59,65.55,28.83,4.37
Agoo,643.22,342.17,164.95,39.54,20.38,3.21
Aringay,786.45,424.72,228.2,68.47,29.17,5.14
Bacnotan,714.29,360.33,181.49,42.39,20.41,2.84
Bagulin,766.91,434.86,266.23,96.53,38.04,5.34
Balaoan,687.66,355.93,167.4,41.85,19.45,3.09
Bangar,701.31,385.06,191.25,51.16,22.63,3.23
Bauang,783.9,451.65,227.66,43.27,24.95,2.84
Burgos,790.69,462.94,262.66,87.14,35.78,4.95
Caba,786.4,453.84,222.84,56.83,29.68,4.29
Luna,679.18,352.17,162.16,38.41,16.52,2.42
Naguilian,795.39,460.88,241.48,66.76,32.69,4.26
Pugo,776.25,431.73,250.9,87.31,39.35,5.21
Rosario,680.24,383.98,215.05,64.85,35.45,3.84
San Fernando City,732.14,396.52,228.18,56.8,24.19,4.01
San Gabriel,730.9,410.77,249.61,94.43,33.49,5.37
San Juan,747.79,388.42,215.16,52.97,23.15,2.62
Santo Tomas,517.03,327.92,196.46,61.8,29.28,7.82
Santol,714.88,399.35,222.75,80.12,31.21,5.13
Sudipen,698.62,401.69,215.51,68.24,27.91,4.56
Tubao,689.79,379.78,189.08,57.9,28.48,3.95
Laguna,317.86,346.82,330.75,288.8,261.53,70.94
Alaminos,301.11,300.1,279.49,203.24,149.81,47.19
Bay,291.49,326,266.76,223.53,171.33,44.23
Biñan,393.93,400.81,251.34,194.91,156.16,31.42
Cabuyao,370.56,396.5,257.49,216.01,183.19,37.51
Calamba City,350.84,365.52,263.35,204.89,169.76,38.74
Calauan,297.35,321.34,283.79,230.24,181.62,49.01
Cavinti,271.37,327.14,391.74,354.32,358.6,113.31
Famy,316.93,349.15,385.55,354.81,334.15,97.79
Kalayaan,274.44,321.99,406.41,360.98,391.98,121.43
Kalibato Lake,283.78,302.1,348.12,296.68,232.88,69.21
Laguna lake,363.88,383.75,297.39,293.11,259.92,52.72
Liliw,285.16,314.12,373.65,287.66,243.67,78.12
Los Baños,301.11,342.8,278.45,221.46,164.37,39.73
Luisiana,269.72,323.42,375.74,344.32,328.28,103.01
Lumban,284.97,325.35,398.85,360.13,390.24,120.45
Mabitac,320.77,359,368.14,328.06,319.18,86.79
Magdalena,287.5,333.76,334.82,263.99,251.1,80.36
Majayjay,279.65,317.91,382.92,309.48,271.7,86.29
Nagcarlan,293.11,320.3,343.41,263.68,215.09,66.06
Paete,280.35,323.21,397.56,381.17,392.73,118.22
Pagsanjan,301.67,337.58,384.07,325.5,359.91,113.42
Pakil,297.88,338.89,387.03,358.32,347.42,97.26
Palakpakin Lake,301.44,316.55,321.63,245.59,190.29,55.4
Pangil,299.89,341.39,395.19,360.86,350.55,98.07
Pila,297.9,347.5,303.02,255.66,212.62,53.84
Rizal,285.43,309.19,358.37,285.45,235.28,71.14
Sampaloc Lake,292.13,316.86,310.56,248.54,178.7,57.53
San Pablo City,289.43,298.47,320.26,245.43,194.07,57.38
San Pedro,411.3,401.19,243.33,210.35,146.4,23.37
Santa Cruz,293.58,347.79,314.57,274.28,252.82,66.99
Santa Maria,335.26,358.99,394.48,338.86,312.72,94.88
Santa Rosa City,388.03,399.44,252.89,210.9,172.98,32.94
Siniloan,298.07,345.02,382.36,366.63,351.08,101.87
Victoria,303.32,329.89,301.83,256.18,208.56,53.7
Waterbody,286.35,318.22,331.28,262.37,219.53,67.82
Lanao del Norte,337.7,385.06,297.48,282.29,245.67,169.62
Bacolod,295.28,390.18,264.08,292.4,249.06,174.08
Baloi,334.91,488.72,272.17,262.45,210.33,143.24
Baroy,301.07,308.99,308.79,311.71,276.97,222.25
Iligan City,326.89,427.87,266.18,245.12,202.27,128.44
Kapatagan,359.68,326.26,336.47,278.83,248.67,173.72
Kauswagan,356.59,545.3,263.21,292.43,231.83,128.2
Kolambugan,275.61,282.18,299.62,367.54,343.52,279.16
Lala,309.45,309.05,313.64,306.79,276.37,208.28
Linamon,389.67,626.26,265.43,297.46,225.66,111.85
Magsaysay,290.09,319.38,293.28,317.32,296.14,224.66
Maigo,285.56,336.11,279.98,313.5,281.4,212.09
Matungao,377.5,586.46,267.4,284.03,221.4,125.02
Munai,342.94,385.63,297.12,279.34,260.93,164.73
Nunungan,409.98,363.81,338.33,275.78,233.16,154.43
Pantao Ragat,331.11,459.65,272.03,277.95,242.72,154.05
Pantar,306.36,422.38,279.1,244.8,209.92,158.65
Poona Piagapo,336.33,469.6,274.67,283.11,242.86,153.79
Salvador,325.58,320.95,320.04,270.79,235.59,182.67
Sapad,389.08,339.56,343.77,274.21,239.81,163.17
Sultan Naga Dimaporo,386.87,329.72,330.22,259.46,228.35,151.3
Tagoloan,344.58,511.1,272.13,268.3,213.74,134.83
Tangcal,342.88,363.61,316.1,290.37,267.82,177.45
Tubod,289.13,306.61,301.08,326.32,299.52,234.25
Lanao del Sur,358.58,380.06,295.59,273.92,226.83,149.3
Bacolod Kalawi,355.47,380.58,296.36,270.17,257.92,159.58
Balabagan,435.88,398.93,352.42,269.2,162.3,131.81
Balindong,329.55,372.49,287.13,268.95,251.56,162.51
Bayang,402.56,379.46,310.71,266.42,209.27,146.61
Binidayan,410.9,378.18,307.78,263.7,208.99,145.62
Buadiposo-Buntong,296.81,383.22,265.7,290.97,257.12,163.33
Bubong,326.12,398.35,264.91,291.41,248.11,149.65
Bumbaran,353.97,377.75,301.51,286.53,244.89,141.74
Butig,372.52,370.87,296.68,286.95,238.55,145.23
Calanogas,455.1,384.24,330.77,265.38,195.44,139.81
Dapao Lake,413.32,369.22,297.02,266.85,224.35,146.51
Ditsaan-Ramain,267.93,360.53,260.8,274.06,259.9,174.62
Ganassi,381.18,369.93,282.85,267.81,230.45,150.02
Kapai,329.06,450.57,277.21,262.02,218.76,143.16
Kapatagan,374.91,378.02,332.35,257.61,184.06,128.7
Lanao Lake,300.4,354.67,274.48,274.09,242.56,166.16
Lumba-Bayabao,356.25,373.36,281.53,302.74,252.38,145.99
Lumbaca Unayan,384.57,374.45,299.1,270.11,213.73,145.92
Lumbatan,367.73,365.53,284.8,268.83,215.73,148.72
Lumbayanague,348.84,359.89,279.61,271.46,233.32,151.76
Madalum,352.29,377.97,285.62,271.05,259.04,159.67
Madamba,355.45,372.14,286.53,273.94,251.48,158.25
Maguing,340.31,385.07,265.09,285.97,233.72,146.75
Malabang,461.18,393.96,357.03,254.42,160.23,137.72
Marantao,307.08,368.42,296.96,249.99,240.23,168.71
Marawi City,263.29,347.67,277.21,234.33,214.43,175.74
Marogong,432.91,394.65,343.94,269.74,192.39,136.6
Masiu,335,363.94,281.65,281.44,232.86,154.51
Mulondo,307.85,379.02,275.57,281.89,244.05,162.13
Pagayawan,435.6,378.75,312.04,258.96,200.84,142.89
Piagapo,304.43,373.37,282.28,240.91,234.76,165.9
Picong,451.17,371.94,346.59,261.12,191.43,137.25
Poona Bayabao,314.46,361.21,280.35,277.91,219.39,158.8
Pualas,378.88,368.56,284.97,270.6,232.89,151.25
Saguiaran,283.45,373.67,285.41,234.05,206.06,169.44
Sultan Dumalondong,387.8,374.92,315.72,285.51,230.78,139.89
Tagoloan II,335.69,418.96,288.16,271.34,235.78,146.12
Tamparan,291.51,357.38,271.64,280.45,223.26,168.94
Taraka,291.53,357.73,271.51,280.54,224.69,169.08
Tubaran,465.88,390.4,342.83,263.04,182.19,136.19
Tugaya,345.43,379.85,304.52,270.13,254.85,160.66
Wao,325.94,369.01,305.07,244.96,215.19,144.55
Leyte,224.41,232.28,299.1,356.8,418.84,386.47
Abuyog,230.19,206.2,317.67,486.41,541.17,540.52
Alangalang,195.44,217.35,283.4,335.68,389.27,384.97
Albuera,253.37,250.02,300.24,382.3,418.28,401.92
Babatngon,217.79,234.1,331.56,376.03,495.43,396.84
Barugo,207.44,242.71,314.55,358.93,442.19,382.61
Bato,226.41,230.33,263.88,300.11,358.31,348.7
Baybay City,253.82,232.55,311.21,411.15,464.72,460.49
Burauen,247.77,235.21,296.58,392.5,451.69,419.41
Calubian,212.56,240.57,300.66,297.72,368.43,304.67
Capoocan,241.2,257.23,330,335.85,421.42,343.37
Carigara,241.45,251.51,326.29,347.86,448.01,366.04
Dagami,233,226.68,297.05,367.46,434.04,394.14
Dulag,180.4,203.67,270.4,402.77,462.85,436.35
Hilongos,238.05,223.68,275.67,301.28,344.83,342.85
Hindang,227.07,218.8,264.51,277.25,325.99,345.99
Inopacan,260.01,229.16,295.64,326.43,385.03,369.66
Isabel,215.59,253.53,298.8,288.47,324.89,298.13
Jaro,250.24,243.34,318.41,359.92,431.16,372.38
Javier,251.6,216.27,316.92,484.4,533.68,535.62
Julita,195.93,209.97,275.51,394,447.98,431.96
Kananga,237.25,252.72,319.08,332.14,394.39,332.35
La Paz,239.78,224.95,300.14,434.21,481.53,464.66
Leyte,219.74,254.89,326.64,321.9,402.06,329.65
Macarthur,232.39,215.86,303.66,472.85,519.62,518.61
Mahaplag,232.58,208.72,315.67,456.96,517.33,504.21
Matag-Ob,222.46,249.79,303.51,319.58,376.6,305.61
Matalom,223.04,230.89,259.55,287.17,358.01,350.92
Mayorga,197.83,211.63,283.33,453.88,503.12,490.91
Merida,223.68,260.29,302.51,300.35,337.65,313.73
Ormoc City,248.26,257.15,310.03,340.73,395.89,350.84
Palo,167.41,188.3,247.88,328.33,388.94,395.6
Palompon,209.38,247.97,296.96,299.42,340.14,288.18
Pastrana,212.58,221.2,288.52,355.78,414.66,385.48
San Isidro,203.03,242.58,296.44,291.73,361.13,300.24
San Miguel,209.75,235.79,318.51,359.53,441.87,387.09
