Prov/Muni,NOV-2018,DEC-2018,JAN-2019,FEB-2019,MAR-2019,APR-2019
Patnongon,211.35,126.41,52,27.71,45.64,55.97
San Jose,206.43,129.76,54.75,30.86,49.92,58.17
San Remigio,196.2,117.56,51.46,26.57,45.75,60.23
Sebaste,194.02,115.38,50.7,27.61,43.48,52.47
Sibalom,185.07,107.17,47.22,27.95,39.59,44.16
Tibiao,187.57,96.26,42.77,27.14,35.75,38.22
Tobias Fornier,188.39,108.26,47.41,25.03,40.62,40.82
Valderrama,157.78,96.67,37.34,17.69,29.57,34.67
Apayao,372.46,155.14,48.95,29.89,59.75,68.86
Calanasan,334.71,140.57,46.78,31.65,86.84,73.15
Conner,363.06,159.39,58.19,38.05,65.6,65.05
Flora,387.32,155.38,52.75,31.9,55.15,67.55
Kabugao,403.41,161.25,50.82,26.75,47,67.25
Luna,400.08,168.44,47.73,25.33,47.04,69.13
Pudtol,355.35,146.72,35.19,24.75,45.63,70.67
Santa Marcela,344.24,151.39,32.27,23.72,41.49,69.29
Aurora,453.72,301.63,130.37,104.26,154.92,125.22
Baler,574.99,465.96,140.57,120.85,162.53,115.24
Casiguran,570.26,471.41,157.14,126.01,194.12,121.96
Dilasag,512.76,388.45,142.11,109.07,173.05,108.76
Dinalungan,468.11,330.95,126.93,94.61,150.94,109.78
Dingalan,380.47,211.47,113.53,96.55,142.2,130.16
Dipaculao,365.49,176.22,129.08,113.52,161.57,155.74
Maria Aurora,384.09,165.96,134.88,110.1,148.23,149.95
San Luis,396.12,225.97,95.46,64.14,97.15,103.22
Basilan,158.13,117.78,100.79,81.77,97.89,115.4
Akbar,157.67,120,80.61,64.54,74.59,95.63
Al-Barka,121.89,87.08,56.86,47.92,54.36,74.67
Hadji Mohammad Ajul,154.56,121.33,102.9,74.75,102.63,119.25
Isabela City,154.24,118.03,100.08,90.68,96.01,116.62
Lamitan City,139.1,102.45,91.2,78.8,88.24,104.22
Lantawan,168.02,132.5,110.02,87.19,107.2,127.05
Maluso,160.11,113.74,104.13,86.38,106.9,122.99
Sumisip,180.33,126.99,117.84,97.61,115.72,134.43
Tipo-Tipo,151.88,118.48,114.83,88.48,103,123.33
Tuburan,195.34,137.04,112.77,93.89,113.07,122.74
Ungkaya Pukan,130.61,93.13,81.67,51.96,76.17,81.1
Bataan,99,48.51,4.36,3.57,3.83,20.78
Abucay,94.41,40.59,3.66,5.96,9.11,25.85
Bagac,91.67,46.66,3.76,3.01,4.15,21.45
Balanga City,102.33,41.99,3.73,2.34,3.4,22.8
Dinalupihan,109.28,48.6,3.84,2.66,3.59,22.46
Hermosa,116.72,56.36,3.98,2.11,3.4,23.77
Limay,98.77,50.59,4.36,4.43,3.44,19.45
Mariveles,113.46,55.22,4.69,4.44,3.98,21.68
Morong,93.95,46.12,4.05,4.52,3.18,20.64
Orani,93.39,48.9,5.61,2.97,3.36,17.73
Orion,97.48,53.08,6.05,3.15,2.96,16.85
Pilar,74,48.02,4.75,2.79,2.31,14.82
Samal,88.25,44,5.38,3.78,2.86,16.13
Batanes,221.26,101.2,122.07,83.3,70.16,45.41
Basco,147.17,71.98,75.91,35.69,27.81,31.15
Itbayat,207.23,93.22,119.07,75.61,62.09,45.33
Ivana,256.63,119.01,148.96,129.99,108.73,53.85
Mahatao,244.11,111.98,131.97,97.53,84.12,48.17
Sabtang,264.38,126.08,145.46,114.97,97.54,51.45
Uyugan,228.38,97.56,112.37,63.8,58.83,41.34
Batangas,175.89,141.2,34.51,21.41,24.93,34.52
Agoncillo,119.77,75.75,4.91,4.27,2.25,20.24
Alitagtag,154.92,124.72,26.79,14.91,21.3,32.75
Balayan,150.33,102.03,16.71,8.92,11.44,28.15
Balete,173.3,141.15,34.35,19.5,28.12,37.99
Batangas City,132.49,98.01,21.73,12.31,14.11,27.85
Bauan,236.45,173.06,21.38,13.81,20.42,30.17
Calaca,187.68,148.39,30.04,21.5,25.91,35.84
Calatagan,104.53,93.99,19.75,12.14,5.58,21.65
Cuenca,151.38,113.98,23.08,11.91,11.83,26.42
Ibaan,191.57,144.34,24.92,14.97,17.6,28.32
Laurel,239.63,174.7,22.82,16.55,20.98,31.3
Lemery,233.27,181.48,33.26,23.78,29.77,41.02
Lian,129.89,119.85,27.85,20.66,17.01,29.74
Lipa City,162.86,134.13,24.6,16.75,15.59,27.88
Lobo,186.62,144.12,35.65,24.47,29.62,39.36
Mabini,123.55,110.02,21.61,15.87,8.53,21.97
Malvar,172.41,139.17,26.55,17.82,16.88,28.26
Mataas Na Kahoy,220.6,169.24,29.9,19.74,23.59,34.18
Nasugbu,182.24,142.34,33.42,22.08,25.62,35.95
Padre Garcia,204.03,151.61,34.71,22.87,26.11,35.32
Rosario,159.2,142.6,45.29,33.05,36.33,41.84
San Jose,164.12,150.74,53.97,37.93,38.49,39.73
San Juan,175.84,128.45,30.96,20.69,21.1,32.81
San Luis,128.67,126.52,41.03,28.44,31.57,38.22
San Nicolas,135.03,136.22,52.04,35.27,38.82,42.65
San Pascual,192.78,162.8,47.63,30.91,28.47,34
Santa Teresita,205.57,146.54,26.28,16.22,16.12,31.89
Santo Tomas,162.49,132.54,35.68,24.25,26.7,36.24
Taal,138.46,141.25,52.36,35.24,40.36,44.55
Taal lake,192.76,162.2,48.18,26.7,35.19,39.87
Talisay,210.39,182.15,63.12,34.29,46.32,42.94
Tanauan City,214.73,167.24,40.25,19.54,29.06,37.55
Taysan,218.06,183.92,64.29,28.71,45.17,44.69
Tingloy,213.66,165.27,35.63,14.59,25.34,38.41
Tuy,215.06,169.47,50.36,22.16,34.08,42.18
Benguet,126.41,51.23,12.05,20.08,45.09,110.64
Atok,117.07,36.42,10.77,17.02,45.77,101.33
Baguio City,122.14,38.04,10.17,18.23,51.29,108.47
Bakun,142.66,51.01,13.75,24.79,63.14,126.34
Bokod,134.97,42.64,11.77,14.33,54.42,106.71
Buguias,132.84,47.44,11.07,18.7,48.73,109.41
Itogon,129.01,50.27,12.57,22.51,48.82,112.1
Kabayan,123.61,50.43,11.71,24.49,45.35,110.09
Kapangan,105.72,40.75,10.24,24.16,36.78,107.62
Kibungan,114.77,50.12,12.64,22.38,37.89,105.95
La Trinidad,146.55,70.84,19.26,44.68,47.97,128.7
Mankayan,121.86,57.14,12.93,19.87,34.22,112.59
Sablan,117.37,61.92,8.71,13.24,34.25,110.55
Tuba,123.85,66.5,10.74,10.41,31.29,106.19
Tublay,110.35,60.25,9.92,6.35,26.18,88.7
Biliran,319.99,392.98,316.4,184.49,192.65,112.64
Almeria,310.39,366.53,299.29,176.19,181.6,105.26
Biliran,316.67,378.73,308.21,179.46,191.16,107.72
Cabucgayan,300.16,370.69,309.77,182.55,179.35,107.29
Caibiran,320.5,402.58,317.39,188.2,203.71,115.62
Culaba,316.76,386.21,312.48,181.84,178.1,112.19
Kawayan,328.19,412.16,321.29,188.13,197.5,116.72
Maripipi,330.69,409.65,324.57,186.96,205.63,117.25
Naval,334.07,415.94,338.37,192.62,204.42,118.73
Bohol,214.41,211.46,181.61,113.43,118.53,65.79
Albuquerque,219.75,260.29,263.33,149.88,119.3,68.29
Alicia,196.63,227.51,217.97,127.81,103.86,59.72
Anda,189.73,237.21,277,162.29,99.01,60.06
Antequera,240.2,259.67,219.2,135.89,123.83,71.72
Baclayon,201.64,246.17,241.78,139.63,113.63,67.54
Balilihan,224.98,242.66,204.37,133.12,126.34,71.61
Batuan,185.28,207.34,179.93,112.66,97.45,59.75
Bien Unido,214.72,233.37,193.99,130.04,127.48,69.49
Bilar,243.31,269.81,237.34,146.03,133.81,79.16
Buenavista,218.5,230.14,188.55,125.01,117.19,67.07
Calape,218.89,228.96,197.26,133.79,130.65,70.96
Candijay,235.85,252.65,229.06,144.77,129.96,80.41
Carmen,221.43,214.27,175.47,117.05,120.63,66.88
Catigbian,225.91,219.35,215.4,141.69,132.98,73.96
Clarin,236.18,252.46,247.52,152.72,133.24,80.87
Corella,221.61,213.92,163.64,108.47,108.61,69.38
Cortes,215.11,201.92,158.4,103.98,118.52,64.74
Dagohoy,223.42,205.79,186.22,121.56,129.16,64.42
Danao,229.16,211.46,216.63,141.19,135.28,72.51
Dauis,231.05,232.95,220.2,138.77,124.34,78.19
Dimiao,209.6,186.87,131.67,94.95,108.78,68.62
Duero,214.35,203.76,156.34,101.09,113.04,64.66
Garcia Hernandez,226.92,203.81,188.53,120.73,132.35,62.09
Guindulman,228.31,198.8,203.77,135.96,131.9,70.2
Inabanga,229.05,229,194.68,126.63,120.15,75.82
Jagna,218.42,201.15,146.5,96.36,111.11,67.49
Jetafe,232.06,204.4,189.75,116.21,129.67,60.45
Lila,231.35,228.37,202.63,132.85,134.05,67.74
Loay,231.65,235.16,212.12,136.44,133.74,69.03
Loboc,230.72,236.99,201.6,132.55,123.76,78.96
Loon,205.83,182.22,130.88,90.14,107.28,71.42
Mabini,227.78,217.53,161.41,96.12,117.09,55.9
Maribojoc,249.97,245.59,195.12,104.78,134,48.17
Panglao,234.39,236.54,193.83,124.62,135.48,63.75
Pilar,236.56,252.35,219.1,140.87,131.77,74.8
Pres. Carlos P. Garcia,197.86,166.3,123.51,83.01,106.47,72.55
Sagbayan,205.13,182.86,140.52,84.53,108.63,61.55
San Isidro,237.38,239.84,181.96,94.16,123.25,48.66
San Miguel,234.01,244.48,188.58,107.16,126.78,56.17
Sevilla,230.03,246.02,205.79,124.74,129.95,65.22
Sierra Bullones,193.54,167.01,141.55,88.13,108.26,74.29
Sikatuna,194.84,166.69,132.57,78.1,106.28,63.82
Tagbilaran City,194.05,166.55,133.44,78.22,106.72,62.69
Talibon,215.53,217.16,178.48,97.1,122.19,55.56
Trinidad,176.74,136.46,115.22,75.13,105.25,77.89
Tubigon,198.79,181.69,144.79,81.19,112.15,56.39
Ubay,185.42,170.48,145.4,83.39,107.08,58.15
Valencia,64.71,59.54,56.88,30.73,31.22,20.55
Bukidnon,225.88,215.03,169.42,155.64,188.5,156.76
Baungon,252.49,297.65,239.31,188.91,215.17,131.44
Cabanglasan,227.06,262.49,217.6,166.96,198.6,124.46
Damulog,182.46,187.07,149,117.69,147.68,96.73
Dangcagan,226.5,250.93,213.25,169.88,194.53,125.71
Don Carlos,183.15,182.16,133.29,108.37,142.61,100.77
Impasug-Ong,218.3,221.86,165,138.04,169.01,124.07
Kadingilan,230.33,223.46,178.21,154.81,183.78,142.42
Kalilangan,226.3,195.86,140.02,137.32,168.65,130.5
Kibawe,258.58,240.64,153.27,148.65,187.03,143.73
Kitaotao,234.15,219.06,169.82,157.41,189.56,144.48
Lantapan,270.19,244.19,131.32,143.4,179.17,133.32
Libona,252.52,233.22,174.23,161.12,195.72,158.14
Malaybalay City,233.63,210.45,157.7,154.66,185.52,152.76
Malitbog,225.22,217.2,193.29,172.93,203.53,171.37
Manolo Fortich,248.1,232.12,157.8,158.58,193.7,166.3
Maramag,223.72,196.92,159.84,152.66,187.25,170.51
Pangantucan,216.88,192.8,175,163.92,194.65,173.42
Quezon,232.21,212.09,178.44,172.31,204.51,180.83
San Fernando,210.81,192.24,169.55,160.95,192.36,184.61
Sumilao,223.97,209.83,178.81,168.35,200.28,187.13
Talakag,210.79,198.76,168.4,160.09,196.3,188.09
Valencia City,199.68,185.57,160.48,148.21,189.05,186.15
Bulacan,190.98,123,31.63,23.8,36.41,50.76
Angat,199.18,110.81,34.97,25.21,39.07,52.83
Balagtas,233.66,137.15,40.91,29.61,45.78,57.31
Baliuag,225.59,134.84,43.73,32.14,50.57,65.77
