Prov/Muni,NOV-2018,DEC-2018,JAN-2019,FEB-2019,MAR-2019,APR-2019
Trece Martires City,162.46,103.42,25.43,10.46,20.55,33.53
Cebu,195.71,180.8,145.61,88.54,103.17,63.57
Alcantara,171.81,187.49,148.57,80.33,68.07,48.76
Alcoy,227.85,215.66,181.77,94.34,85.79,61.75
Alegria,233.08,212.88,192.3,100.35,92.57,66.76
Aloguinsan,232.68,204.2,187.18,98.97,91.79,69.4
Argao,213.22,185.15,170.16,90.34,81.84,67.85
Asturias,171.64,132.5,137.7,74.39,65.83,60.51
Badian,174.51,130.93,135.8,70.75,72.07,64.76
Balamban,191.74,163.9,159.82,84.89,87.48,68.77
Bantayan,212.24,202.93,196.71,103.18,104.15,65.21
Barili,222.09,225.61,223.3,115.5,114.13,70.31
Bogo City,194.74,181.64,172.44,97.15,102.03,51.93
Boljoon,230.98,256.26,240.3,127.03,128.27,79.88
Borbon,220.28,208.61,202.58,109.47,101.55,59.59
Carcar,204.92,216.54,194.16,109.38,117.82,63.86
Carmen,252.98,284.35,267.84,138.54,142.79,96.27
Catmon,214.22,193.62,183.67,101.81,99.49,55.91
Cebu City,218.17,231.33,207.92,115.77,120.64,72.94
Compostela,191.7,196.28,162.67,97.17,111.31,59.47
Consolacion,201.47,191.38,163.8,97.01,97.46,65.85
Cordoba,174.26,175.12,141.62,88.43,102.18,62.54
Daanbantayan,179.4,177.86,140.16,88.78,97.81,63.95
Dalaguete,167.23,170.53,145.55,91.05,96.19,63.55
Danao City,180.77,173.7,115.71,81.87,90.33,68.15
Danao Lake,154.27,158.91,120.6,81.13,94.57,64.48
Dumanjug,162.36,166.43,136.47,86.78,87.6,61.16
Ginatilan,188.83,172.02,114,84.07,83.91,68.42
Lapu-Lapu City,148.05,143.2,113.86,80.46,84.83,61
Liloan,141.07,127.55,79.29,46.94,40.41,21.49
Madridejos,165.59,159.37,102.11,81.22,90.82,71.28
Malabuyoc,141.04,137.56,100.55,75.04,76.1,56.99
Mandaue City,156.54,145.51,119.29,83.42,74.03,49.99
Medellin,184.8,174.59,110,84.85,90.28,71.6
Minglanilla,164.73,160.41,94.42,81.18,86.5,75.97
Moalboal,148.53,140.83,113.44,82.3,72.4,52.95
Naga City,190.04,180.19,110.48,81.9,96.1,72.1
Oslob,182.63,185.77,128.24,91.35,87.72,74.48
Pilar,195.77,184.67,114.14,81.93,98.46,70.66
Pinamungahan,201.73,187.82,111.83,83.36,101.71,73.89
Poro,193.76,174.2,114.37,83.88,98.36,72.91
Ronda,228.83,198.21,123,83.98,123.42,63.66
Samboan,212.71,186.28,118.29,83.86,112.01,68.98
San Fernando,215.51,184.35,119.85,83.55,118.76,64.3
San Francisco,212.27,177.97,122.3,81.6,116.85,63.64
San Remigio,198.58,167.81,122.32,81.81,110.84,63.43
Santa Fe,198.54,170.92,123.15,82.36,116.24,63.11
Santander,204.99,180.77,126.11,83.54,125.63,63.03
Sibonga,201.56,176.46,127.89,84.34,126.52,62.78
Sogod,211.24,186.3,133.66,85.35,130.7,60.64
Tabogon,211.16,191.08,140.07,86.05,136.31,57.94
Tabuelan,223.06,199.65,145.56,86.21,149.12,54.51
Talisay City,226.63,201.42,150.2,87.7,157.84,51.99
Toledo City,207.82,173.57,132.71,81.07,143.71,54.62
Tuburan,192.27,153.57,120.2,73.53,126.47,53.05
Tudela,181.84,141.09,111.35,67.39,113.2,50.94
Compostela Valley,235.82,326.8,375.92,272.43,275.69,208.97
Compostela,260.23,415.2,454.23,287.42,368.15,256.75
Laak,259.61,396.71,443.16,296.75,346.38,250.81
Mabini,240.03,363.27,421.2,303.99,317.49,241.82
Maco,222.16,345.02,418.95,297.25,293.73,223.52
Maragusan,219.94,346.18,436.49,302.5,279.91,211.68
Mawab,209.42,336.8,424.76,292.12,264.43,192.96
Monkayo,213.36,314.69,387.54,281.09,259.02,188.68
Montevista,237.05,315.03,358.04,261.39,242.06,185.38
Nabunturan,247.59,303.09,334.38,261.37,248.19,194.47
New Bataan,244.32,274.15,294.44,241.43,232.06,191.61
Pantukan,232.36,247.78,263.24,216.6,212.91,176.05
Davao del Norte,203.19,222.38,258.88,211.61,220.49,193.96
Asuncion,247.48,312.31,311,236.23,287.95,227.09
Braulio E. Dujali,231.98,290.12,301.37,238.48,283.41,223.4
Carmen,236.54,285.21,279.25,235.72,270.57,208.87
Kapalong,207.84,273.63,307.47,243.39,264.9,205.71
New Corella,207.45,234.51,258.35,222.18,236.44,199.26
Panabo City,206.18,214.07,257.27,217.29,221.44,196.64
Samal City,189.45,213.2,290.54,227.23,214.31,189.06
San Isidro,188.55,169.22,243.09,203.56,195.85,191.43
Santo Tomas,185.8,150.85,228.62,196.71,180.66,188.03
Tagum City,196.83,151.67,214.21,189.71,169.38,186.32
Talaingod,168.41,147.85,157.74,133.06,122.41,144.02
Davao del Sur,170.02,149.28,139.69,111.51,125.78,123.83
Bansalan,240.9,212.7,198.11,189.12,213.52,193.66
Davao City,203.6,170.25,148.66,129.15,142.29,163.57
Digos City,184.46,156.78,115.22,102.58,107.89,127.43
Don Marcelino,134.99,109.53,112.43,90.86,92.41,107.96
Hagonoy,81.57,77.61,110.58,83.52,80.76,97.18
Jose Abad Santos,107.02,95.01,108.47,85.84,83,93.39
Kiblawan,119.09,107.58,110.43,90.04,90.65,93.65
Magsaysay,127.35,125.89,111.83,96.08,104.68,94.78
Malalag,142.48,124,117.55,94.65,106.24,92.58
Malita,150.76,142.39,137.27,101.53,123.22,95.89
Matanao,181,190.33,164.22,116.62,148.53,109.62
Padada,202.23,204.45,173.1,121.73,155.08,117.52
Santa Cruz,202.59,190.03,179.18,125.44,155.48,119.79
Santa Maria,189.79,167.23,158.54,110.59,137.9,106.25
Sarangani,189.46,141.17,153.86,93.95,119.68,103.89
Sulop,204.27,172.14,169.01,98.78,138.16,122.37
Davao Oriental,225.72,287.44,321.21,236.72,235.54,202.77
Baganga,325.23,450.54,503.77,342.52,354.86,320.54
Banaybanay,296.88,400.67,429.61,322.1,306.13,286.53
Boston,278.05,357.88,369.9,303.76,288.13,235.94
Caraga,249.27,314.28,316.85,271.93,257.97,210.93
Cateel,242.57,284.44,294.05,246.87,240.16,189.13
Governor Generoso,224.63,252.48,265.8,224.06,219.68,174.41
Lupon,207.96,232.75,254.09,208.24,201.16,167.2
Manay,176.46,208.01,243.5,182.36,170.17,149.92
Mati City,136,169.16,225.58,147.5,146.9,128.37
San Isidro,134.26,194.87,243.79,150.38,176.12,141.03
Tarragona,163.06,190.27,230.48,135.75,161.98,137.09
Dinagat Islands,368.01,522.12,544.61,297.32,308.99,200.84
Basilisa,376.21,506.43,486.29,256.74,281.28,185.86
Cagdianao,380.39,526.34,524.39,281.95,297.8,195.17
Dinagat,367.08,543.49,542.53,303.72,310.78,199.76
Libjo,353.92,525.34,552.6,305.84,305.96,195.02
Loreto,361.14,520.56,567.97,312.33,317.66,203.22
San Jose,376.33,522.36,580.58,312.27,330.83,217.43
Tubajon,364.59,517.91,580.18,323.68,340.25,226.74
Eastern Samar,480.68,582.51,434.28,273.4,286.89,201.7
Arteche,488.87,585.16,445.4,266.55,265.74,168.79
Balangiga,498.73,558.14,445.77,272.96,266.68,184.83
Balangkayan,500.82,561.34,438.64,277.58,272.69,187.68
Borongan City,493.61,538.34,441.59,286.93,269.3,195.64
Can-Avid,475.9,539.1,429.37,278.53,272.13,189.4
Dolores,481.09,556.72,429.05,275.63,290.07,189.48
General Macarthur,492.43,584.8,432.19,272.83,300.7,195.88
Giporlos,501.06,605.46,429.08,273.06,310.54,203.37
Guiuan,518.87,638.85,424.48,274.07,304.7,221.18
Hernani,536.42,660.78,423.25,271.51,301.27,243.77
Jipapad,544.04,666.58,424.62,271.22,307.27,249.61
Lawaan,516.63,652.36,424.67,279.02,301.45,233.41
Llorente,501.82,630.6,426.65,279.47,299.95,219.73
Maslog,475.74,599.14,426.08,275.47,290.9,201.52
Maydolong,472.83,592.71,429.3,277.63,290.14,206.42
Mercedes,468.83,602.58,424.18,281.15,285.92,205.58
Oras,461.19,590.83,429.42,278.14,280.48,205.94
Quinapondan,453.58,582.38,439.74,272.28,284.08,202.32
Salcedo,453.65,579.44,448.41,269.24,287.85,200.39
San Julian,454.24,584.12,451.01,270.72,293.4,202.95
San Policarpo,361.12,463.04,419.22,246.9,244.89,154.6
Sulat,467.51,595.09,471.71,272.34,356.6,213.82
Taft,365.17,475.63,429.29,234.55,243.2,165.87
Guimaras,181.1,143.72,69.61,46.48,54.45,59.87
Buenavista,196.68,146.35,65.66,46.42,57.84,56.76
Jordan,185.1,143.81,65.65,45.58,55.02,57.28
Nueva Valencia,181.42,143.89,67.71,44.62,54.67,57.38
San Lorenzo,191.88,153.79,75.28,46.42,56.15,61.49
Sibunag,160.11,134.36,72.37,48.95,50.37,64.78
Ifugao,223.31,128.05,39.31,44.38,77.75,116.28
Aguinaldo,265.85,149.4,43.94,42.22,71.8,100.96
Alfonso Lista,252.04,135.04,37.89,41.86,74.41,114.82
Asipulo,232.33,131.03,47.74,45.1,78.47,100.89
Banaue,232.14,119.11,37.52,45.87,82.19,128.84
Hingyon,210.65,135.92,48.6,45.92,79.02,95.87
Hungduan,219.54,110.58,37.57,45.93,81.58,126.23
Kiangan,218.71,144.98,47.75,46.05,76.49,95.85
Lagawe,209.3,113.97,34.93,45.04,80.53,129.52
Lamut,195.66,116.33,38.36,44.43,80.44,118.29
Mayoyao,196.42,122.76,37.18,45.5,78.15,122.07
Tinoc,190.75,132.36,33.08,44.02,76.78,123.29
Ilocos Norte,137.81,39.4,15.34,9.99,24.91,35.42
Adams,211.08,72.01,22.75,13.41,65.99,52.36
Bacarra,136.56,43.06,14.04,7.74,18.78,23.19
Badoc,195.49,54.55,20.1,13.15,43.74,42.66
Bangui,176.17,63.44,18.75,12.36,42.8,39.09
Banna,213.42,62.22,22.07,16.48,53.06,49.55
Batac City,159.24,52.38,16.85,10.62,30.57,34.04
Burgos,174.61,53.1,18.1,11.95,33.43,37.58
Carasi,152.37,43.36,17.86,11.84,28.84,35.42
Currimao,254.55,68.29,24.69,19.43,41.83,56.85
Dingras,90.4,23.25,12.09,8.27,17.53,24.44
Dumalneg,166.79,45.1,18.32,12.56,25.34,37.44
Laoag City,148.24,40.3,15.98,11.78,24.13,34.13
Marcos,143.06,39.1,16.66,10.55,20.79,32.14
Nueva Era,130.97,37.74,15.22,10.04,19.88,32.9
Pagudpud,144.92,39.49,17.98,9.71,19.99,34.73
Paoay,34.75,10.1,6.97,3.68,11.32,18.74
Paoay Lake,66.93,16.75,11.4,6.94,14.42,23.46
Pasuquin,114.94,31.23,14.39,7.94,17.06,31.83
Piddig,86.03,20.89,12.54,7.72,15.91,29.33
Pinili,158.98,45.1,17.39,10.05,19.75,43.18
San Nicolas,62.11,19.27,6.44,3.51,11.86,20.92
Sarrat,96,24.04,9.76,6.7,15.22,27.46
Solsona,126.61,31.46,13.04,8.55,17.73,37.32
Vintar,104.86,26.38,9.67,7.61,16.28,39.81
Ilocos Sur,72.79,23.58,6.06,7.64,19.68,41.64
Alilem,43.27,14.76,6.64,2.95,12.23,25.53
Banayoyo,53.81,18.25,6.47,3.36,12.18,28.1
Bantay,57.91,17.9,5.84,2.88,12.98,29.67
Burgos,57.74,18.76,4.58,3.17,12.34,30.43
Cabugao,61.3,20.94,4.15,3.04,11.81,32.75
Candon City,26,14.4,3.08,2.19,11.26,21.98
Caoayan,49.56,16.59,3.26,2.33,10.88,27.24
Cervantes,31.25,11.36,3.36,2.61,11.49,20.42
Galimuyod,52.82,19.39,6.99,3.96,10.99,32.36
Gregorio Del Pilar,56.76,23.03,3.92,3.72,12.45,29.42
Lidlidda,51.68,12.96,4.31,5.36,15.8,38.71
Magsingal,64.95,14.61,5.93,5.37,15.13,36.34
Nagbukel,69.52,18.97,4.95,5.68,14.85,33.54
Narvacan,69.84,21.07,4.92,5.08,14.22,32.39
Quirino,72.82,27.34,6.03,5.75,14.13,30.66
Salcedo,59.77,19.9,5.89,6.31,13.64,25.17
San Emilio,70.14,19.38,6.56,8.03,15.22,29.2
San Esteban,72.56,20.69,6.33,8.05,14.4,25.51
San Ildefonso,109.75,27.54,7.28,9.03,16.64,42.92
San Juan,108.05,30.17,8.23,8.67,22.86,53.8
San Vicente,185.05,64.61,11.27,12.26,37.77,86.92
Santa,51.16,17.34,5.37,8.01,14.8,22.48
Santa Catalina,71.84,25.02,6.29,9.29,17.92,32.46
Santa Cruz,82.76,22.54,6.8,8.27,22.06,46.19
Santa Lucia,98.21,32.38,6.76,13.37,23.42,44.23
Santa Maria,83.74,24.22,7.87,11.09,23.73,54.31
Santiago,79.71,24.06,6.9,8.89,27.55,55.39
Santo Domingo,96.29,32.87,6.81,13.81,26.18,49.77
Sigay,81.24,28.4,6.89,9.77,28.39,54.6
Sinait,94.79,31.23,6.9,13.58,29.47,60.25
Sugpon,95.07,28.43,6.94,13.05,31.87,62.55
Suyo,97.93,34.38,7.85,14.62,37.23,76.95
Tagudin,108.17,43.19,7.05,15.13,38.46,82.36
Vigan City,116.92,38.8,7.31,14.77,36.44,91.02
Iloilo,219.44,163.31,93.64,63.69,77.65,59.62
Ajuy,283.62,240.45,162.9,86.98,96.31,52.59
Alimodian,298.88,254.73,166.91,92.44,108.84,56.1
Anilao,288.2,248.09,164.16,91.86,122.15,59.79
Badiangan,213.29,175.17,101.55,48.36,65.48,21.63
Balasan,280.85,230.56,144.39,90.02,98.6,56.94
Banate,257.85,211.13,134.88,87.26,101.24,56.5
Barotac Nuevo,271.56,217.85,125.54,80.17,96,63.92
Barotac Viejo,260.27,215.31,123.33,89.31,96.2,60.59
Batad,271.5,222.85,137.65,87.66,90.22,55.05
Bingawan,248.56,216.03,117.76,75.31,89.91,68.32
Cabatuan,258.88,213.93,107.34,86.98,97.11,63.87
Calinog,238.61,188.96,109.23,81.42,89.42,53.94
Carles,234.7,183.78,100.23,70.96,86.53,62.59
Concepcion,231.9,183.8,96.27,78.68,87.33,58.18
Dingle,240.87,192.17,112.35,79.46,86.93,54.41
Duenas,239.89,174.83,88.86,65.91,93.3,76.04
Dumangas,232.02,175.17,94.9,78.19,88.62,63.07
Estancia,219.58,173.16,82.79,72.79,74.73,55.22
Guimbal,206.19,164.61,76.92,72.01,67.58,52.59
Igbaras,206.64,172.12,97.35,70.58,70.34,53.05
Iloilo City,228.84,164.26,84.02,66.68,92.45,78.9
Janiuay,221.32,158.05,85.38,70.51,83.09,62.98
Lambunao,228.82,160.72,86.65,66.42,80.33,68.16
Leganes,216.17,147.03,85.31,68.76,77.81,59.29
Lemery,202.57,160.35,81.61,57.01,66.71,63.51
Leon,211.08,144.39,86.72,60.03,83.87,76.66
Maasin,217.89,151.86,85.46,66.23,75.95,60.44
Miagao,200.96,130.81,75.24,47.99,75.49,74.59
Mina,187.96,113.16,82,56.83,76.95,66.15
New Lucena,195.16,127.1,82.22,61.4,75.92,61.03
Oton,211.08,152.25,75.64,51.76,68.93,60.11
Passi City,187.82,107.13,72.82,46.22,67.62,65.65
Pavia,186.06,113.12,73.18,50.44,69.36,58.5
Pototan,201.43,139.69,78.95,57.81,72.72,58.31
San Dionisio,182.07,122.63,63.74,37.28,55.53,56.47
San Enrique,164.09,86.76,64.67,42.37,58.95,58.63
San Joaquin,183.98,119.1,63.38,41.51,57.84,53.98
San Miguel,175.96,117.69,61.63,33.54,52.99,52.65
San Rafael,167.57,114.51,65.67,41.39,52.71,56.7
Santa Barbara,152.92,93.36,56.95,36.7,50.71,54.77
Sara,177.06,123.46,58.61,33.66,47.52,48.7
Tigbauan,156.53,91.33,49.65,30.89,39.69,49.59
Tubungan,148.31,107.54,49.48,29.84,37.42,46.18
Zarraga,146.51,98.05,44.42,25.91,32.21,41
Isabela,421.78,280.12,86.06,63.61,88.05,76.26
Alicia,402.13,252.35,66.81,38.68,50.88,53.74
Angadanan,465.89,298.97,77.83,46.5,60.41,61.02
Aurora,228.98,170.81,56.34,28.6,47.01,46.94
Benito Soliven,544.94,350.1,87.44,56.15,67.66,68.88
Burgos,255.59,145.64,54.56,30.38,49.98,53.38
Cabagan,455.76,281.78,80.24,49,64.02,66.01
Cabatuan,290.47,162.62,59.73,32.68,52.63,52.71
Cauayan City,550.55,346.18,88.94,53.83,69.59,69.19
Cordon,576.9,359.64,107.09,67.63,88.69,75.17
Delfin Albano,374.72,223.36,65.11,39.04,56.4,58.9
Dinapigue,463.96,288.21,81.15,52.44,69.48,67.42
Divilacan,416.93,260.4,75.53,49.35,66.63,63.14
Echague,426.26,268.73,80.91,55.56,75.53,66.54
Gamu,358.17,201.89,72.3,48.6,74.47,68.39
Ilagan,449.59,292.31,85.84,62.96,81.41,67.08
Jones,303.05,184.77,69.07,50.88,75.16,67.19
Luna,412.82,267.16,88.62,65.93,79.82,63.49
Maconacon,452.03,302.29,97.25,69.48,101.27,77.65
Mallig,311.57,184.29,73.69,55.48,78.52,66.22
Naguilian,454.89,304.86,101.34,74.97,93.51,68.49
Palanan,444.52,305.38,99.67,74.45,101.48,78.77
Quezon,406.43,285.64,89.84,66.7,100.29,84.42
Quirino,266.55,167.38,68.88,52.56,84.92,75.24
Ramon,406.31,288.47,99.18,77.46,100.79,77.01
Reina Mercedes,585.9,420.52,123.02,100.9,117.73,90.65
Roxas,622.87,466.49,141.26,102.39,131.53,92.98
San Agustin,271.09,180.13,64.15,49.03,83.02,81.59
San Guillermo,456.93,322.21,102.24,82.7,108.16,87.48
San Isidro,218.41,138.99,52.38,39.76,79.01,83.86
San Manuel,254.33,168.46,53.47,37.24,72.04,81.23
San Mariano,410.26,293.86,91.09,75.39,105.23,89.27
San Mateo,457.79,332.61,104.42,83.76,114.49,95.21
San Pablo,433.91,313.41,95.06,80.22,113.38,95.27
Santa Maria,306.77,205.06,69.04,59.89,97.34,88.5
Santiago City,476.33,345.23,107.23,96.11,131.75,103.61
Santo Tomas,541.23,410.47,119.86,111.34,145.78,114.19
Tumauini,442.71,317.53,105.69,95.61,138.72,104.21
Kalinga,260.96,120.12,31.03,28.22,46,79.8
Balbalan,315.82,134.98,32.99,25.42,42.89,74.13
Lubuagan,277.91,115.47,35.08,25.62,42.23,68.93
Pasil,256.97,104.7,33.96,25.54,42.95,70.56
Pinukpuk,265.67,122.4,30.54,27.51,45.55,79.49
Rizal,251.37,113.16,33.05,28.79,45.36,72.83
Tabuk City,233.22,115.71,28.79,30.27,47.47,81.92
Tanudan,233.57,120.93,27.86,30.26,50.09,91.38
Tinglayan,242.76,124.41,28.23,32.63,52.38,101.35
La Union,65.23,28.21,4.83,6.76,21.28,46.84
Agoo,55.13,23.62,3.66,6.82,23.17,32.8
Aringay,50.11,20.21,3.43,5.3,20.86,26.82
Bacnotan,49.36,21.64,3.99,6.8,21.94,28.28
Bagulin,47.6,21.65,4.12,7.09,21.18,28.77
Balaoan,69.25,26.39,4.63,10.25,26.99,49.72
Bangar,82.61,31.19,5.2,11.69,28.9,58.78
Bauang,54.52,22.59,3.54,6.91,22.76,40.83
Burgos,74.22,27.96,4.19,8.53,23.11,53.72
Caba,60.06,20.47,3.54,5.7,20.19,43.13
Luna,87.53,33.99,4.48,8.77,23.02,62.55
Naguilian,68.51,31.09,5.3,6.79,20.38,52.1
Pugo,81.9,32.61,4.82,8.64,22.47,61.86
Rosario,88.22,34.38,5.37,10.05,25.09,64.72
San Fernando City,59.37,32.4,4.66,4.71,18.47,49.17
San Gabriel,67.95,31.35,5.88,5.26,17.78,50.51
San Juan,65.19,27.03,5.59,5.26,17.04,49.21
Santo Tomas,69.42,27.14,6.68,4.93,19.34,50.51
Santol,58.11,29.87,4.29,3.69,17.16,41.58
Sudipen,64.99,31.18,5.42,4.36,18.27,46.76
Tubao,67.92,35.98,7.08,8.01,24.68,58.21
Laguna,288.37,260.38,71.33,42.27,60.66,51.1
Alaminos,277.47,229.65,51.46,31.26,45.59,41.87
Bay,320.47,294.88,86.38,52.36,81.62,60.03
Binan,299.1,254.73,54.42,33.01,46.97,39.22
Cabuyao,325.29,307.65,83.96,52.5,77.14,55.03
Calamba City,322.58,285.81,67.61,41.16,58.22,45.39
Calauan,350.74,339.09,99.03,60.47,87.6,61.58
Cavinti,305.05,260.09,57.57,37.23,48.61,41.28
Famy,318.12,295.1,70.8,36.44,53.14,45.12
Kalayaan,360.59,364.64,97.71,53.71,77.09,60.29
Kalibato Lake,380.21,379.42,101.88,58.32,84.01,63.64
Laguna lake,306.37,292.01,76.19,45.78,62.67,50.62
Liliw,310.26,293.18,77.08,41.3,57.38,49.3
Los Banos,341.04,386.44,119.73,62.8,89.2,73.39
Luisiana,364.56,383.76,122.59,74.67,106.88,75.23
Lumban,169.9,154.04,37.31,22.32,31.01,32.65
Mabitac,272.52,233.53,46.6,31.78,39.2,36.79
Magdalena,259.75,216.37,52.79,30.42,44.04,38.98
Majayjay,242.67,214.08,64.33,32.06,55.01,46.69
Nagcarlan,310.21,304.61,95.98,60.22,84.48,63.55
Paete,225.87,179.83,42.26,22.43,35.25,37.21
Pagsanjan,251.01,201.67,49.99,31.48,43.66,39.12
Pakil,250,196.53,58.61,32.18,50.71,45.66
Palakpakin Lake,245.46,191.53,65.54,30.88,56.75,50.67
Pangil,285.22,251.11,82.45,46.35,70.09,58.12
Pila,310.12,285.39,87.37,58.68,78.67,62.8
Rizal,208.65,143.47,38.33,16.83,30.62,39.47
Sampaloc Lake,182.7,137.04,41.03,29.1,37.1,43.57
San Pablo City,243.9,189.47,56.48,35.49,51.01,48.61
San Pedro,272.87,232.93,76.21,46.93,67.32,61.01
Santa Cruz,290.28,248.7,79.23,50.21,69.44,62.08
Santa Maria,236.63,178.52,54.88,38.36,51.04,50.78
Santa Rosa City,322.54,268.75,81.22,32.29,69.08,67.55
Siniloan,255.53,203.21,62.86,36.38,54.73,55.85
Victoria,218.96,169.89,53.13,32.73,47.53,51.66
Waterbody,237.95,207.14,57.9,45.83,51.19,48.31
Lanao del Norte,282.29,245.48,167.59,138.08,169.41,132.22
Bacolod,207.86,180.69,129.49,102.65,118.3,95.06
Baloi,235.25,193.87,125.7,109.01,131.95,112.28
Baroy,258.68,206.79,123.42,112.1,135.67,115.04
Iligan City,290.89,241.75,157.11,124.41,147,109.94
Kapatagan,282.54,223.2,134.51,119.24,145.06,122.79
Kauswagan,364.89,343.4,272.26,178.99,204.41,119.17
Kolambugan,320.36,297.93,224.45,159.33,185.02,122.34
Lala,275.68,232.31,151.08,127.3,152.42,124.04
Linamon,260.35,204.58,146.52,130.18,153.34,142.36
Magsaysay,342.16,320.21,246.77,169.56,193.8,123.38
Maigo,297.52,278.33,193.85,152.15,183.54,133.36
Matungao,281.55,260.56,167.12,142.36,173.42,136.42
Munai,267.28,244.25,172.12,140.43,168.22,143.85
Nunungan,296.49,267.65,196.02,154.41,187.64,137.85
Pantao Ragat,282.7,244.5,185.31,154.5,192.07,146.59
Pantar,291.9,266.05,162.53,155.25,193.6,153.61
Poona Piagapo,270.94,241.11,170.06,139.16,175.24,135.51
Salvador,265.77,235.45,177.71,145.87,185.41,144.92
Sapad,278.59,255.76,166.55,150.72,192.51,154.66
Sultan Naga Dimaporo,272.07,244.23,157.52,140.17,179.85,145.59
Tagoloan,280.04,245.75,155.69,150.72,200.26,161.63
Tangcal,266.69,231.12,148.26,136.56,176.69,153.65
Tubod,267.62,210.72,139.42,134.04,193.38,170.38
Lanao del Sur,273.19,225.86,146.93,142.14,190.44,180.35
Bacolod Kalawi,259.09,207.86,126,115.34,141.56,118.61
Balabagan,258.7,224.01,136.99,128.8,158.37,139.7
Balindong,269.3,234.03,142.48,133.52,167.49,156.42
Bayang,252.98,212.17,158.55,138.17,163.83,162.13
Binidayan,280.96,245.92,147.26,136.89,172.59,166.31
Buadiposo-Buntong,238.76,229.64,163.7,148.05,175.6,161.76
Bubong,273.4,237.87,161.68,142.04,172.12,179.67
Bumbaran,249.57,238.47,171.07,151.92,176.08,175.87
Butig,281.66,253.85,166.19,144.51,170.1,189.01
Calanogas,300.63,252.56,150.19,142.8,176.11,185.81
Dapao Lake,299.82,257.85,146.92,141.37,179.97,181.95
Ditsaan-Ramain,278.95,265.12,158.88,151.06,188.25,156.02
Ganassi,268.49,253.18,159.75,154.84,185.18,162.32
Kapai,274.27,236.81,165.66,147.53,171.91,184.3
Kapatagan,287.62,243.55,142.17,141.82,177.96,180.67
Lanao Lake,275.32,241.15,159.44,148.13,179.56,169.7
Lumba-Bayabao,279.83,231.62,149.34,144.77,184.42,177.03
Lumbaca Unayan,269.89,214.83,140.12,149.99,197.43,183.28
Lumbatan,265.81,221.64,144.96,140.43,196.3,169.99
Lumbayanague,265.33,218.11,145.36,141.64,195,169.92
Madalum,260.9,206.39,141.65,139.88,200.64,176.23
Madamba,270.59,226.93,147.75,142.32,192.41,173.79
Maguing,282.5,237.47,147.52,144.83,193.08,184.28
Malabang,267.31,203.52,137.03,138.73,202.05,179.71
Marantao,259.57,192.97,138.49,137.13,206.6,181.66
Marawi City,269.09,212.4,143.3,142.8,206.65,184.58
Marogong,291.98,243.59,142.04,147.96,205.49,189.47
Masiu,192.24,160.7,105.74,112.09,151.67,136.51
Mulondo,268.68,178.4,131.68,127.55,209.25,188.92
Pagayawan,264.11,165.95,131.78,126.88,218.49,196.48
Piagapo,261.35,187.3,136.71,135.35,212.62,190.29
Picong,284.44,234.81,141.45,149.85,214.72,192.24
Poona Bayabao,343.03,290.6,138.24,155.87,218.87,192.37
Pualas,259.39,224.45,142.89,146.72,192.21,187.76
Saguiaran,256.13,151.56,128.27,122.02,221.84,202.47
Sultan Dumalondong,300.31,239.65,137.94,148.53,216.7,195.95
Tagoloan II,250.93,190.08,140.01,138.56,210.12,195.89
Tamparan,274.81,177.36,131.92,134.88,216.47,198.42
Taraka,279.83,219.18,136.15,141.68,214.4,199.99
Tubaran,279.13,195.27,131.93,133.83,214.16,200.59
Tugaya,265.67,189.57,131.85,133.79,213.86,201.48
Wao,258.72,192.4,128.84,129.39,206.48,204.64
Leyte,357.35,417.27,384.42,202.24,193.59,146.89
Abuyog,298.21,367.97,306.07,173.93,163.79,103.05
Alangalang,330.42,424.86,340.45,199.02,185.84,118.82
Albuera,360.3,462.4,378.44,230.18,204.91,130.68
Babatngon,316.27,395.79,325.24,185.68,170.08,114.14
Barugo,365.68,454.23,375.28,223.45,198.24,133.3
Bato,352.85,446.91,388.16,248.04,213.06,130.61
Baybay City,334.21,407.54,351.22,206.93,185.52,121.9
Burauen,323.34,391.56,353.46,214.79,181,116.4
Calubian,338.45,416.79,343,201.44,189.8,124.1
Capoocan,325.02,380.92,388.56,239.17,187.38,125.34
Carigara,322.67,387.42,310.03,180.28,174.24,108.59
Dagami,340.9,417.27,343.46,203.12,201.66,129.34
Dulag,348.67,411.83,371.91,229.57,197.87,134.67
Hilongos,307.32,365.24,377.78,233.06,172.12,122.62
Hindang,307.6,361.35,298.56,169.29,165.92,101.23
Inopacan,349.22,413.59,357.46,211.82,196.4,136.6
Isabel,342.72,398.83,392.87,234.27,179.87,135.98
Jaro,332.44,388.2,326.62,187.68,182.73,115.45
Javier,368.31,424.5,383.62,223.34,201.79,142.4
Julita,361.91,428.84,401.98,231.05,186.02,142.55
Kananga,320.47,364.09,316.48,174.34,171.18,112.28
La Paz,374.32,451.62,399.4,219.41,209.79,146.91
Leyte,334.49,382.4,357.34,190.83,176.76,130.34
Macarthur,361.94,405.22,377.43,200.88,203.98,135.88
Mahaplag,374.08,430.29,397.76,206.25,199.91,149.32
Matag-Ob,310.48,338.27,329.35,168.5,166.43,111.84
Matalom,403.35,444.99,427.25,209.98,219.14,172.26
Mayorga,402.16,442.32,425.89,203.84,200.66,173.79
Merida,363.18,400.85,380.8,187.89,198.86,144.56
Ormoc City,441.78,488.86,476.58,205.67,218.67,204.42
