Prov/Muni,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019
Ternate,65.09,5.22,4.86,2.87,20.44,156.93
Trece Martires City,80.25,14.01,12.3,11.57,22.83,161.61
Cebu,180.35,145.08,88.72,103.48,63.85,118.8
Alcantara,176.96,120.39,81.6,118.91,63.73,132.51
Alcoy,192.12,141.92,84.8,144.44,55.18,127.63
Alegria,203.25,146.99,88.41,150.31,54.55,140.41
Aloguinsan,187.45,114.95,82.55,99.35,69.43,131.66
Argao,170.33,122.43,83.31,115.47,64.71,126.94
Asturias,177.29,149.73,90,95.11,53.03,115.17
Badian,182.47,130.49,84.24,128.45,60.7,138.64
Balamban,173.22,126.57,83.95,92.95,64.34,123.93
Bantayan,187.07,163.38,86.19,76.28,57.58,121.48
Barili,192.36,119.4,83.47,115.82,66.19,135.88
Bogo City,110.36,127.92,66.98,64.98,58.55,112.08
Boljoon,176.74,134.53,83.23,143.62,54.37,124.34
Borbon,172.04,167.09,89.1,92.63,65.99,109.39
Carcar,172.74,113.12,83.06,99.03,72.6,128.07
Carmen,201.52,169.04,100.96,114.92,60.62,115.04
Catmon,203.57,175.46,102.68,113.74,57.33,115.53
Cebu City,148.19,111.39,80.1,86.32,62.72,116.66
Compostela,169.6,145.19,90.72,95.07,62.77,106.03
Consolacion,148.25,124.39,83.36,81.09,55.7,89.01
Cordoba,159.35,176.29,96.92,75.87,48.21,92.5
Daanbantayan,238.84,201.12,111.22,98.98,74.18,116.28
Dalaguete,180.33,130.57,84.11,132.12,61.56,132.17
Danao City,190.13,159.42,96.54,105.27,63,108.34
Danao Lake,271.69,254.9,132.62,136.45,89.01,104.78
Dumanjug,191.51,121.23,82.92,122.32,63.33,132.89
Ginatilan,169.27,129.41,79.21,140.62,54.78,131.18
Lapu-Lapu City,138.36,110.82,78.97,67.72,46.22,71.52
Liloan,163.05,136.71,87.69,87.83,60.17,96.46
Madridejos,195.27,181.39,90.01,85.85,60.03,120.05
Malabuyoc,194.62,145.24,86.73,157.87,53.13,138.87
Mandaue City,124.9,111.87,78.08,71.89,50.52,81.49
Medellin,170.3,162.16,87.51,80.22,69.79,117.94
Minglanilla,176.9,95.01,80.45,91.47,79.94,143.41
Moalboal,166.03,123.26,80.27,110.75,61.76,132.29
Naga City,175.84,99.15,81.87,93.39,79.83,142.15
Oslob,153.77,121.42,75.34,129.01,52.88,117.25
Pilar,314.52,316.91,152.43,143.15,107.56,125.52
Pinamungahan,177.06,108.7,82.42,90.4,70.4,131.83
Poro,283.78,270.68,140.27,142.24,95.61,113.57
Ronda,181.44,120.43,82.09,121.3,63.49,132.12
Samboan,149.59,116.17,70.22,125.26,54.11,118.46
San Fernando,175.31,106.7,82.3,94.85,75.36,133.82
San Francisco,263.35,251.2,131.69,132.02,85.44,103.48
San Remigio,121.64,133.45,70.45,67.47,64.28,110.04
Santa Fe,167.5,148.24,75.87,66.56,50.76,95.34
Santander,137.54,108.61,65.35,110.05,51.23,102.41
Sibonga,174.72,118.27,83.89,113.1,66.88,128.33
Sogod,192.3,179.58,99.93,107.04,56.29,109.99
Tabogon,143.51,145.49,76.31,79.16,66.27,108.82
Tabuelan,167.17,160.31,85.84,87.62,63.46,106.98
Talisay City,161.75,96.27,82.46,84.08,74.88,129.06
Toledo City,169.37,110.66,83.01,87.13,69.39,129.58
Tuburan,170.64,163.91,92.96,90.29,44.71,102.61
Tudela,291.74,282.73,146.15,144.44,98.73,118.88
Compostela Valley,325.43,374.88,272.07,275.56,209.2,239.02
Compostela,374,449.77,318.83,304.43,235.9,237.11
Laak,342.11,382.42,264.5,318.67,234.45,243.15
Mabini,255.13,285.02,227.48,213.53,181.47,237.74
Maco,251.23,309.17,239.18,217.71,179.67,242.63
Maragusan,310.62,330.48,266.41,258.41,200.31,237.62
Mawab,279.1,380.07,260.03,229.96,169.22,232.56
Monkayo,418.22,479.47,316.99,353.49,254.86,244.86
Montevista,339.49,424.79,292.52,285.35,209.77,239.17
Nabunturan,311.95,400.96,275.64,244.21,172.91,237.56
New Bataan,368.83,408.38,308.04,298.43,219.15,246.11
Pantukan,239.23,256.16,210.41,207.92,174.77,225.19
Davao del Norte,221.09,257.94,211.31,220.36,194.17,238.78
Asuncion,259.77,336.35,254.15,255.29,207.75,241.1
Braulio E. Dujali,153.14,228.18,197,184.85,189.99,230.08
Carmen,141.66,220.26,195.34,173.68,189,230.86
Kapalong,278.62,290.69,232.19,269.48,215.28,251.57
New Corella,262.95,347.18,254.78,239.95,189.95,238.16
Panabo City,157.34,194.78,168.59,170.02,183.27,235.31
Samal City,143,138.73,113.79,102.14,122.27,181.83
San Isidro,276.09,303.74,239.46,274.72,212.41,244.35
Santo Tomas,182.34,243.12,209.37,209.68,198.49,237.95
Tagum City,177.63,263.38,216.44,187.84,187.49,232.16
Talaingod,244.73,230.66,212.29,241.68,202.18,264.01
Davao del Sur,148.61,139.32,111.57,126.32,124.48,187.41
Bansalan,148.89,118.4,100.48,111.93,127.33,215.65
Davao City,175.54,160.99,142.54,157.86,172.6,255.25
Digos City,130.15,110.37,91.94,97.72,117.81,210.54
Don Marcelino,184.41,168.91,117.87,148.5,112.67,140.8
Hagonoy,88.37,107.08,80.14,75.68,94.88,158.14
Jose Abad Santos,169.38,163.71,113.58,141.61,110.38,143.18
Kiblawan,83.97,106.93,90.39,90.14,89.67,160.23
Magsaysay,115.41,116.24,90.45,93,105.14,186.25
Malalag,120.95,109.06,93.55,102.95,94.35,152.47
Malita,138.66,133.55,99.58,119.88,94.8,133.67
Matanao,85.54,110.02,85.74,85.21,98.04,173.8
Padada,92.23,105.08,82.21,78.41,94.13,156.72
Santa Cruz,152.38,110.55,99.55,101.93,129.28,235.88
Santa Maria,125.51,120.06,93.92,102.53,95.06,145.5
Sarangani,167,167.5,98.37,136.63,119.97,124.91
Sulop,90.75,106.12,86.87,85.75,93.12,160.88
Davao Oriental,286.05,320.11,236.3,235.49,203.01,202
Baganga,389.63,415.33,319.18,306.02,276.73,243.55
Banaybanay,225.3,252.11,200.59,194.78,159.25,209.46
Boston,473.56,533.92,348.21,375.13,309.14,244.81
Caraga,327.83,331.04,283.57,268.56,220.49,235.95
Cateel,427.69,477.37,333.89,332.16,333.77,224.76
Governor Generoso,188.2,238.16,139.83,164.42,137.72,132.96
Lupon,201.32,232.07,178.61,172.95,146.41,182.83
Manay,278.28,290.15,242.75,229.83,191.52,215.61
Mati City,193.59,241.57,162.56,168.78,143.06,165.39
San Isidro,173.46,239.54,155.02,161.96,136.08,139.23
Tarragona,212.21,226.67,187.02,180.9,149.25,182.84
Dinagat Islands,521.34,543.91,297.13,309.02,200.77,138.66
Basilisa,485.55,560.68,305.66,299.91,182.4,125.29
Cagdianao,529.36,564.73,316.92,327.09,217.47,141.78
Dinagat,529.49,588.13,315.45,340.63,218.77,126.57
Libjo,542.74,545.02,299.31,304.84,200.83,140.04
Loreto,512.64,496.88,265.23,291.26,188.52,147.57
San Jose,532.63,576.93,315.57,327.54,214.53,131.5
Tubajon,521.77,520.67,281.87,294.1,195.08,142.97
Eastern Samar,582.01,433.65,273.17,287.06,201.57,208.01
Arteche,561.52,446,276.04,257.41,184.54,200.43
Balangiga,580.28,433.42,273.03,269.53,191.24,184.96
Balangkayan,624.39,424.49,277.43,298.05,218.28,220.42
Borongan City,659.58,422.4,272.65,304.3,240.23,262.3
Can-Avid,554.83,434.5,287.75,291.07,196.71,208.68
Dolores,531.97,435.51,284.74,268.98,193.37,207.25
General Macarthur,585.29,431.6,279.02,289.54,213.67,193.36
Giporlos,538.48,456.83,274.6,255.73,179.85,169.05
Guiuan,523.59,446.62,250.16,289.71,185.65,167.59
Hernani,587.43,442.37,282.61,304.73,208.51,195.13
Jipapad,585.82,436.88,260.53,282.52,168.62,200.04
Lawaan,582.59,428.03,265.19,263.6,183.97,184.18
Llorente,603.91,426.29,278.72,294.85,211.22,205
Maslog,577.67,419.82,263.32,296.39,184.71,221.43
Maydolong,645.58,425.25,277.41,299.89,228.99,236.16
Mercedes,598.92,470.59,271.9,360.76,213.83,190.59
Oras,517.65,444.41,285.77,246.68,192.31,201.41
Quinapondan,583.77,440.72,274.44,288.31,209.09,182.08
Salcedo,539.28,423.18,252.83,302.24,195.03,167.64
San Julian,635.6,422.67,275.14,307.53,218.97,253.7
San Policarpo,536.34,460.54,284.7,243.18,187.91,186.2
Sulat,604.82,430.27,272.72,303.21,204.14,233.98
Taft,576.55,431.73,276.55,303.25,193.94,217.08
Guimaras,142.97,68.8,46.46,54.35,59.71,192.38
Buenavista,151.9,68.95,50.05,61.17,57.66,175.67
Jordan,127.36,56.14,37.01,48.17,54.08,170.97
Nueva Valencia,137.74,68.87,46.37,49.73,60.43,194.38
San Lorenzo,150.03,72.87,50.29,59.19,60.67,198.41
Sibunag,146.46,73.22,46.99,54.61,63.02,209.93
Ifugao,127.56,39.52,44.69,77.87,116.2,251.65
Aguinaldo,151.36,47.53,44.95,74.03,98.4,232.63
Alfonso Lista,145.78,52.41,44.79,75.8,82.39,197.57
Asipulo,122.34,34.86,45.39,79.71,130.56,266.7
Banaue,124.12,32.04,41.96,77.5,129.63,286.7
Hingyon,115.12,36.19,46.75,83.06,131.61,273.41
Hungduan,102.3,28.19,41.13,77.89,139.42,307.4
Kiangan,115.34,36.8,47.52,81.21,130.2,270.26
Lagawe,126.17,41.81,48.01,81.4,115.66,235.6
Lamut,140.13,38.53,48.89,79.54,115.15,219.18
Mayoyao,136.53,42.46,45.78,77.65,112.44,248.86
Tinoc,92.12,27.35,38.68,76.02,139.11,292.13
Ilocos Norte,38.91,15.61,10.36,25.03,35.31,198.95
Adams,85.52,27.39,19.8,72.23,67.15,198.06
Bacarra,14.45,9.5,6.2,12.35,18.52,156.53
Badoc,14.92,7.12,4.38,12.35,26.68,207.71
Bangui,44.85,17.14,10.53,29.41,32.92,163.58
Banna,21.48,11.21,7.77,16.31,29.02,203.93
Batac City,17.39,7.72,5.06,12.67,22.22,179.54
Burgos,40.05,13.64,8.31,15.16,20.36,145.86
Carasi,67.98,25.65,19.13,35.12,52.93,245.73
Currimao,10.59,5.67,2.53,10.97,18.48,163.73
Dingras,22.32,15.17,9.06,17.66,30.14,209.36
Dumalneg,55.15,20.82,13.88,43.95,43.03,186.67
Laoag City,14.62,8.02,5,11.67,18.49,158.31
Marcos,18.94,13.14,8.46,16.78,29.68,211.11
Nueva Era,45.24,16.55,11.69,21.32,48.7,259.48
Pagudpud,74.99,24.07,15.79,68.28,55.87,165.03
Paoay,7.78,5.77,2.71,10.74,17.85,152.55
Paoay Lake,10.83,5.95,2.83,10.63,18.12,153.69
Pasuquin,29.45,11.4,7.38,11.68,17.57,156.24
Piddig,32.61,16.74,10.11,19.75,30.3,206.97
Pinili,17.63,7.41,4.74,12.71,24.26,193.75
San Nicolas,15.23,7.72,4.88,11.79,19.33,163.88
Sarrat,18.27,10.2,6.45,13.2,21.51,185.61
Solsona,50.04,21.13,12.84,23.07,41.06,239.6
Vintar,48.79,19.59,13.67,30.91,39.81,203.23
Ilocos Sur,23.11,6.21,7.95,19.79,41.53,232.39
Alilem,34.5,7.43,14.77,34.92,71.13,290.45
Banayoyo,21.81,5.72,5.46,13.14,25.21,215.94
Bantay,18.17,3.59,2.72,11.25,28.34,196.61
Burgos,24.84,5.46,5.54,13.89,30.99,219.34
Cabugao,16.99,6.4,3.15,12.58,27.36,217.63
Candon City,15.19,5.63,6.72,12.35,20.62,215.99
Caoayan,12.79,4.94,3.24,11.07,21.85,151.2
Cervantes,25.01,9.74,13.1,35.26,76.17,286.68
Galimuyod,18.61,6.44,8.24,14.12,24.57,224.13
Gregorio Del Pilar,28.96,7.89,11.19,21.38,48.86,268.1
Lidlidda,26.16,6.23,7.04,15.09,31.31,224.54
Magsingal,19.32,4.69,3.36,12.46,31.02,210.39
Nagbukel,14.83,5.62,7.62,18.11,47.07,241.37
Narvacan,16.49,4.4,4.98,14.6,33.46,210.14
Quirino,32.11,9.73,10.06,29.77,68.61,273.65
Salcedo,27.02,6.94,10.61,19.22,36.66,243.42
San Emilio,28.74,8.04,9.53,20.08,46.15,249.11
San Esteban,15.67,3.64,2.96,12.26,24.97,196.86
San Ildefonso,16.01,3.24,2.46,11.49,23.2,167.2
San Juan,19.57,6.04,3.73,13.14,33.17,223.52
San Vicente,6.83,2.87,2.35,10.51,17.16,145.7
Santa,18.82,4.68,3.1,10.67,26.46,186.85
Santa Catalina,4.01,2.69,2.32,10.52,15.47,135.39
Santa Cruz,23.41,5,9.09,19.4,31.06,218.84
Santa Lucia,13.03,4.94,7.63,13.76,21.04,215.19
Santa Maria,17.62,6.17,5.4,14,32.33,211.12
Santiago,18.86,4.2,3.33,10.74,21.79,202.79
Santo Domingo,18.21,3.6,2.57,11.36,26.88,190.04
Sigay,31.15,7.92,14.82,28.35,58.79,279.08
Sinait,13.89,6.91,3.53,12.21,26.52,222.61
Sugpon,39,7.36,15.26,37.49,81.49,295.58
Suyo,32.82,6.78,14.37,28.72,54.83,265.58
Tagudin,25,3.87,7.02,22.71,32.44,212.38
Vigan City,7.34,2.84,2.38,11.13,17,140.28
Iloilo,162.64,92.83,63.62,77.54,59.45,191.83
Ajuy,197.8,117.89,79.93,80.64,52.43,156.62
Alimodian,119.62,72.37,46.72,73.4,71.94,220.37
Anilao,162.08,78.42,70.23,69.11,54.12,162.49
Badiangan,152.33,87.22,66.18,85.67,72.83,193.27
Balasan,274.45,177.92,98.45,133.75,61.24,200.61
Banate,155.07,77.31,67.04,60.4,53.33,157.26
Barotac Nuevo,168.01,86.31,69.5,74.98,58.18,182.43
Barotac Viejo,173.65,92.75,73.4,72.36,53.58,166.34
Batad,252.96,163.22,92.35,115.06,57.22,185.73
Bingawan,214.2,110.79,90.95,97.16,67.6,212.97
Cabatuan,119.1,83.11,56.68,78.48,71.98,186.47
Calinog,194.2,97.45,80.99,96.34,71.47,214.45
Carles,232.81,158.36,84.92,88.55,50.82,158.23
Concepcion,182.73,112.83,65.47,59.5,32.4,114.94
Dingle,157.19,85.42,70.16,80.69,59.69,183.82
Duenas,165.59,91.07,74.7,89.63,66.86,198.08
Dumangas,162.01,82.89,62.7,72.85,59.2,186.39
Estancia,252.9,164.66,92.03,102.74,54.51,169.17
Guimbal,122.53,63.81,40.55,50.65,55.32,216.71
Igbaras,124.11,61.26,34.52,52.88,55.12,243.5
Iloilo City,90.38,47.84,32.25,45.33,50.74,142.77
Janiuay,159.14,82.9,59.4,89.36,79.86,219.23
Lambunao,184.39,84.91,63.4,96.87,79.31,247.86
Leganes,129.39,67.38,48,64.41,55.67,165.4
Lemery,195.48,123.98,83.24,97.4,55.72,176.17
Leon,117.65,66.66,41.74,63.3,64.62,228.04
Maasin,151.67,81.98,55.62,83.9,81.45,206.52
Miagao,115.45,54.67,29.38,46.27,48.05,246.22
Mina,126.1,84.33,62.06,79.13,65.3,190.56
New Lucena,117.28,80.46,57.41,76.43,64.27,185.02
Oton,81.74,53.28,34.96,47.2,53.05,161.22
Passi City,211.22,110.84,87.68,93.91,57.88,206.48
Pavia,81.52,56.57,38.19,54.93,54.11,158.99
Pototan,137.47,84.36,65.3,78.82,61.79,187.54
San Dionisio,233.61,150.3,89.4,103.78,55.39,174.65
San Enrique,178.64,91.48,75.99,83.5,56.23,182.23
San Joaquin,104.27,46.14,25.52,36.34,41.88,214.76
San Miguel,77.24,65.8,44.04,61.99,59,175.83
San Rafael,182.55,102.92,78.82,87.02,53.09,186.5
Santa Barbara,91.42,71.01,48.4,67.37,59.27,176.52
Sara,217.94,143.93,88.41,108.79,58.1,179.71
Tigbauan,113.63,62.87,40.6,52.16,56.12,197.43
Tubungan,122.64,63.79,37.64,58.42,62.06,240.52
Zarraga,136.13,75.91,56.03,70.68,57.68,175.86
Isabela,279.66,86.31,63.96,88.24,76.24,171.66
Alicia,158.79,60.7,45.88,80.48,75.87,180.69
Angadanan,191.17,74.45,56.7,87.44,77.32,182.25
Aurora,144.42,60.15,46.17,77.34,69.47,170.12
Benito Soliven,250.68,87.21,67,86.68,69.41,166.1
Burgos,155.91,55.33,43.21,65.6,61.71,148.84
Cabagan,241.8,67.68,38.38,55.71,56.32,156.3
Cabatuan,149.6,61.98,47.86,79.8,69.99,173.31
Cauayan City,188.01,75.01,56.97,81.92,68.98,169.76
Cordon,151.39,52.34,45.64,84.62,88.68,205.04
Delfin Albano,163.15,57.28,33.34,51.75,54.29,143.27
Dinapigue,449.83,137.15,109.52,136.25,99.67,203.17
Divilacan,397.64,107.06,69.87,85.37,77.48,162.03
Echague,278.36,85.49,72.99,107.43,94.5,202.55
Gamu,176.97,53.75,42.97,53.73,54.76,126.64
Ilagan,353.18,98.4,66.81,83.18,69.43,144.26
Jones,244.72,81.89,74.45,113.34,93.68,199.4
Luna,160.15,60.45,47.87,73.4,64.47,158.15
Maconacon,397.53,102.72,66.66,77.43,77.15,178.22
Mallig,133.53,52.33,36.67,59.3,65.98,160.99
Naguilian,205.99,63.97,50.81,59.79,57.93,133.3
Palanan,432.31,131.41,86.59,116.72,82.72,149.2
Quezon,129.07,49.81,32.96,52.68,61.92,158.35
Quirino,141.15,53.41,36.49,53.73,56.55,141.12
Ramon,152.32,52.85,43.17,77.86,81.16,192.41
Reina Mercedes,180.59,60.76,47.65,64.14,60.13,139.82
Roxas,140.19,55,41.19,67.66,67.56,162.78
San Agustin,309.94,101,94.27,136.16,104.63,208.8
San Guillermo,330.1,101.87,86.99,115.08,91.89,200.56
San Isidro,150.31,52.05,36.85,71.41,80.43,184.09
San Manuel,143.18,57.6,44.03,73.42,69.69,167.36
San Mariano,388.39,117.78,90.94,111.56,81.5,179.75
San Mateo,147.2,56.89,45.4,79.77,76.24,179.64
San Pablo,338.68,83.95,52.48,63.59,64.88,169.7
Santa Maria,135.47,49.09,22.67,40.28,42.31,137.43
Santiago City,149.93,51.2,43.34,78.32,86.53,198.92
Santo Tomas,159.91,57.66,31.4,50.6,52.08,143.22
Tumauini,256.63,68.92,40.58,57.61,56.28,144.79
Kalinga,119.66,31.27,28.57,46.14,79.71,228.39
Balbalan,118.7,28.31,26.57,45.35,91.75,276.2
Lubuagan,105.78,23.68,27.19,48.9,99.85,281.52
Pasil,110.62,25.5,27.18,48.4,97.6,281.36
Pinukpuk,135.34,34.47,26.14,42.69,66.73,208.65
Rizal,99.3,43.69,25.66,41.86,50.83,156.83
Tabuk City,121.35,34.25,31.21,46.07,64.55,170.87
Tanudan,136.1,29.55,33.31,49.3,87.82,233.28
Tinglayan,109.92,26.24,30.57,50.07,101.2,279.7
La Union,27.77,4.9,7.03,21.39,46.75,224.84
Agoo,19.25,3.89,4.14,13.69,27.96,179.89
Aringay,28.07,5.77,5.72,17.99,49.74,233.73
Bacnotan,19.4,3.5,6.28,20.05,28.46,202.37
Bagulin,36.98,5.67,10.81,24.97,68.46,276.96
Balaoan,18.45,3.73,5.97,19.85,23.51,189.65
Bangar,21.63,3.72,5.95,22.15,28.68,198.37
Bauang,23.84,3.46,3.47,16.76,41.86,208.77
Burgos,34.7,5.4,9.45,23.51,63.15,260.78
Caba,28.58,4.92,3.62,16.4,45.11,216.26
Luna,15.51,3.11,4.76,18.72,19.97,182.89
Naguilian,31.58,4.79,6.06,19.71,51.82,229.11
Pugo,38.22,5.82,5.72,23.65,66.45,256.48
Rosario,34.31,4.49,5.58,21.72,54.26,213.86
San Fernando City,23.11,4.65,4.84,17.82,39.89,220.75
San Gabriel,32.47,5.62,12.54,28.82,67.66,270.64
San Juan,22.12,3.27,5.57,19.24,39.53,220.2
Santo Tomas,28.16,8.49,6.82,19.45,42.9,192.1
Santol,30.22,5.4,11.76,29.14,54.58,240.48
Sudipen,26.93,4.8,9.98,26.38,43.19,227.37
Tubao,27.33,4.58,3.48,16.69,42.24,196.06
Laguna,260.03,71.16,42.41,60.79,51.09,154.85
Alaminos,148.27,47.5,31.87,43.19,48.05,157.38
Bay,169.75,44.6,29.88,40.39,40.06,143.85
Binan,154.63,31.7,19.26,23.72,28.12,147.92
Cabuyao,181.66,37.79,24.64,31.55,33.21,143.63
Calamba City,168.23,38.94,22.89,33.26,36.69,150.14
Calauan,180.07,49.44,32.7,44.21,42.93,143.31
Cavinti,357.13,112.91,72.42,100.93,71.56,158.69
Famy,332.72,97.88,60.62,89.58,62.6,162.4
Kalayaan,390.55,121.12,74.03,106.39,74.01,160.3
Kalibato Lake,231.33,69.72,45.62,66.69,61.43,150.55
Laguna lake,258.44,53.14,31.84,41.55,38.06,146.99
Liliw,242.16,78.34,39.83,67.3,61.42,171.58
Los Banos,162.84,40.05,19.44,33.51,38.12,159.74
Luisiana,326.78,102.67,68.15,92.05,68.75,158.91
Lumban,388.79,120.22,71.44,101.32,73.76,159.25
Mabitac,317.74,87.08,50.36,73.85,54.54,161.12
Magdalena,249.56,80.58,44.83,66.55,55.09,151.94
Majayjay,270.18,86.35,46.56,74.12,64.6,173.64
Nagcarlan,213.55,66.43,34.1,58.19,53.44,160.65
Paete,391.29,118,71.31,101.27,74.18,163.48
Pagsanjan,358.4,113.54,60.58,86.53,70.78,164.63
Pakil,346,97.35,55.17,82.02,61.82,167.29
Palakpakin Lake,188.81,55.89,33.62,48.58,47.22,150.02
Pangil,349.13,98.17,54.5,83.03,62.21,170.73
Pila,211.08,54.27,27.42,45.26,39.94,144.17
Rizal,233.78,71.55,41.23,65.23,60.71,161.03
Sampaloc Lake,177.22,58.02,41.86,52.52,51.41,140.11
San Pablo City,192.53,57.83,38.16,52.07,51.35,152.84
San Pedro,144.9,23.73,13.52,13.59,22.12,137.53
Santa Cruz,251.36,67.35,34.32,55.35,46.31,147.01
Santa Maria,311.29,95.11,58.48,88.97,63.82,170.3
Santa Rosa City,171.44,33.21,21.48,26,29.13,144.81
Siniloan,349.63,101.92,62.89,89.94,63.58,159.17
Victoria,207.05,54.18,31.41,46.46,41.31,143.15
Waterbody,217.98,68.31,42.51,63.15,57.15,150.61
Lanao del Norte,244.53,166.88,138.27,168.97,133.12,204.56
Bacolod,248.1,171.36,127.93,149.06,106.41,165.67
Baloi,209.14,140.54,125.28,149.04,135.57,203.08
Baroy,275.93,219.49,161.18,191.22,133.11,188.69
Iligan City,200.71,125.62,112.24,135.98,117.39,189.02
Kapatagan,247.37,170.89,143.19,179.56,137.73,215.53
Kauswagan,230.73,125.47,106.19,127.24,97.72,145.61
Kolambugan,342.53,276.4,181.81,200.64,116.05,166.9
Lala,275.17,205.46,154.85,184.48,131.38,194.35
Linamon,224.47,109.11,99.25,120.76,96.94,138.45
Magsaysay,295.31,221.97,160.53,187.82,130.89,185.04
Maigo,280.52,209.38,149.69,171.47,115.61,173.13
Matungao,220.32,122.31,110.26,133.45,109.18,157.56
Munai,260.12,162.06,151.86,184.59,151.29,247.99
Nunungan,232.06,151.71,144.28,197.01,164.95,265.6
Pantao Ragat,241.77,151.36,128.68,156.02,128.99,194.84
Pantar,208.8,155.96,135.07,160.63,151.31,229.01
Poona Piagapo,241.99,151.1,127.33,153.9,119.95,181.13
Salvador,234.57,179.93,148.88,186.55,148.74,207.32
Sapad,238.62,160.41,143.09,185.82,150.52,232.29
Sultan Naga Dimaporo,226.99,148.48,131.91,168,148.07,236.35
Tagoloan,212.38,132.12,121,143.41,126.67,196.81
Tangcal,267.08,174.78,155.51,193.02,148.4,233.63
Tubod,298.58,231.52,165.79,193.38,132.92,185.33
Lanao del Sur,224.82,146.18,142.14,190.12,180.95,292.04
Bacolod Kalawi,256.95,156.9,155.03,187.81,160.11,262.06
Balabagan,160.8,129.07,126.7,219.1,200.42,352.51
Balindong,250.49,159.83,153.34,181.52,165.15,268.38
Bayang,207.88,143.95,141.98,202.2,182.17,312.73
Binidayan,207.69,142.95,140.77,200.13,179.26,307.27
Buadiposo-Buntong,255.64,160.65,143.38,170.84,187.26,280.66
Bubong,246.55,146.84,137.48,172.17,181.6,275.77
Bumbaran,243.24,138.82,155.32,209.2,189.59,296.72
Butig,237.07,142.58,146.35,202.15,190.12,311.12
Calanogas,194.2,137.11,136.32,205.76,180.88,313.42
Dapao Lake,223.2,143.81,140.2,197.03,170.9,272.75
Ditsaan-Ramain,258.48,171.94,146.08,170.05,189.48,272.21
Ganassi,229.32,147.34,144.57,190.71,168.04,274.81
Kapai,217.32,140.46,127.07,153.34,141.94,221.85
Kapatagan,182.52,125.92,124.23,205.9,207.95,332.19
Lanao Lake,241.26,163.51,146.83,174.4,177.69,274.08
Lumba-Bayabao,250.8,143.22,148.36,200.67,191.4,301.21
Lumbaca Unayan,212.32,143.27,141.42,204.7,185.42,309.96
Lumbatan,214.34,146.07,140.18,196.14,181,297
Lumbayanague,231.88,149.14,142.21,188.11,176.49,284.56
Madalum,258.12,156.99,153.53,186.19,159.37,259.15
Madamba,250.53,155.57,149.9,189.1,159.38,261.12
Maguing,232.15,143.93,143,179.36,185.49,291.61
Malabang,158.81,135.02,126.24,220.49,202.86,361.36
Marantao,239.17,166.03,152.77,178.93,170.02,269.5
Marawi City,213.12,173.07,146.45,170.3,178.73,266.87
Marogong,190.93,133.9,136.66,218.37,198.05,351.06
Masiu,231.39,151.88,144.17,185.01,188.6,286.28
Mulondo,242.58,159.48,144.58,171.04,189.56,281.46
Pagayawan,199.59,140.2,139,201.21,177.24,305.45
Piagapo,233.69,163.21,149.17,174.02,165.69,264.49
Picong,173.5,122.83,116.69,178.42,166.53,283.28
Poona Bayabao,217.92,156.17,146.05,178.29,182.41,282.86
Pualas,231.83,148.56,144.79,191.36,165.19,268.91
Saguiaran,204.81,166.76,144.18,168.99,168.18,254.89
Sultan Dumalondong,229.26,137.23,145.7,212.15,195.16,332.01
Tagoloan II,234.23,143.35,135.57,168.86,156.77,258.59
Tamparan,221.84,166.31,145.15,168.83,183.09,272.72
Taraka,223.25,166.44,145.2,169.2,182.87,272.41
Tubaran,180.85,133.51,131.7,211.12,188.65,336.53
Tugaya,253.82,157.98,155.6,185.88,163.78,268.08
Wao,213.52,141.66,152.33,199.37,186.97,289.34
Leyte,416.82,383.66,201.96,193.67,146.74,158.89
Abuyog,539.14,537.49,197.29,244.9,260.37,205.9
Alangalang,387.32,381.84,236.09,188.46,131.01,151.51
Albuera,416.3,398.78,200.76,208.63,150.54,161.1
Babatngon,493.5,393.77,245.77,220.69,138.03,178.17
Barugo,440.24,379.39,225.63,196.59,131.91,167.52
Bato,356.17,345.97,203.98,177.15,119.95,120.12
Baybay City,462.68,457.36,195.33,211.76,199.14,175.63
Burauen,449.75,416.47,213.83,216.42,161.85,163.16
Calubian,366.44,303.14,173.15,160.41,101.7,144.79
Capoocan,419.4,340.34,200.62,190.34,123.54,162.91
Carigara,446.06,362.78,213.99,204.08,133.56,170.93
Dagami,432.07,391.2,223.42,203.75,144.01,158.04
Dulag,460.92,433.63,220.06,203.4,168.58,156.18
Hilongos,342.71,340.05,189.23,171.85,127.9,122.83
Hindang,323.89,343.13,186.76,164.69,119.51,120.76
Inopacan,382.94,366.69,185.91,185.98,151.89,144.25
Isabel,322.79,295.83,155.29,159.63,101.6,137.75
Jaro,429.18,369.18,221.02,205.14,137.88,164.27
Javier,531.69,532.58,201.33,230.76,253.88,208.89
Julita,446.08,429.21,218.65,202.67,166.34,154.24
Kananga,392.34,329.47,193.33,181.77,121.11,158.73
La Paz,479.59,461.75,210.51,224.65,197.69,174.73
Leyte,400.05,327.3,185.97,176.99,113.65,154.8
Macarthur,517.65,515.66,204.69,220.13,231.63,195.44
Mahaplag,515.27,501.19,198.55,237.78,241.75,191.19
Matag-Ob,374.52,303.2,173.77,176.02,103.84,155.38
Matalom,355.84,348.23,203.03,185.07,105.55,115.26
Mayorga,501.16,488.08,211.28,210.98,209.3,178
Merida,335.56,311.12,164.7,164.87,106.7,144.54
Ormoc City,393.88,347.82,194.17,191,127.57,162.42
